timestamp,accel_X,accel_Y,accel_Z
1657083609170,-46,-1016,-163
1657083609210,-49,-1007,-173
1657083609250,-43,-1010,-168
1657083609290,-49,-1005,-160
1657083609330,-46,-1012,-173
1657083609370,-43,-1006,-168
1657083609410,-51,-1013,-170
1657083609450,-44,-1008,-172
1657083609490,-50,-1011,-170
1657083609530,-46,-1012,-173
1657083609570,-48,-1008,-173
1657083609610,-49,-1012,-168
1657083609650,-51,-1005,-170
1657083609690,-49,-1012,-157
1657083609730,-55,-1009,-168
1657083609770,-47,-1005,-163
1657083609810,-44,-1005,-165
1657083609850,-51,-1007,-176
1657083609890,-43,-1008,-160
1657083609930,-50,-1007,-173
1657083609970,-46,-1009,-161
1657083610010,-43,-1010,-169
1657083610050,-53,-1010,-167
1657083610090,-56,-1007,-164
1657083610130,-48,-1005,-169
1657083610170,-46,-1010,-170
1657083610210,-47,-1009,-159
1657083610250,-53,-1013,-167
1657083610290,-45,-1008,-167
1657083610330,-46,-1015,-171
1657083610370,-51,-1011,-170
1657083610410,-45,-1005,-168
1657083610450,-49,-1014,-173
1657083610490,-40,-1014,-167
1657083610530,-47,-1008,-168
1657083610570,-51,-1009,-173
1657083610610,-39,-1012,-170
1657083610650,-40,-1010,-170
1657083610690,-50,-1016,-177
1657083610730,-45,-1010,-169
1657083610770,-45,-1012,-173
1657083610810,-48,-1008,-168
1657083610850,-54,-1007,-164
1657083610890,-43,-1010,-161
1657083610930,-46,-1011,-169
1657083610970,-47,-1009,-175
1657083611010,-40,-1015,-175
1657083611050,-48,-1010,-166
1657083611090,-47,-1006,-172
1657083611130,-44,-1013,-171
1657083611170,-39,-1005,-167
1657083611210,-42,-1012,-169
1657083611250,-48,-1011,-165
1657083611290,-43,-1010,-172
1657083611330,-44,-1007,-173
1657083611370,-41,-1009,-170
1657083611410,-48,-1007,-173
1657083611450,-45,-1009,-173
1657083611490,-45,-1012,-177
1657083611530,-36,-1005,-170
1657083611570,-51,-1007,-164
1657083611610,-50,-1008,-171
1657083611650,-41,-1010,-165
1657083611690,-46,-1011,-167
1657083611730,-53,-1014,-169
1657083611770,-61,-999,-149
1657083611810,-41,-1008,-166
1657083611850,-43,-1007,-168
1657083611890,-41,-1006,-169
1657083611930,-41,-1006,-168
1657083611970,-37,-1009,-179
1657083612010,-42,-1005,-172
1657083612050,-44,-1014,-178
1657083612090,-46,-1011,-170
1657083612130,-46,-1013,-178
1657083612170,-39,-1017,-174
1657083612210,-46,-1014,-171
1657083612250,-48,-1006,-170
1657083612290,-45,-1005,-172
1657083612330,-41,-1009,-167
1657083612370,-39,-1007,-164
1657083612410,-40,-1012,-169
1657083612450,-40,-1016,-170
1657083612490,-44,-1008,-169
1657083612530,-45,-1012,-167
1657083612570,-40,-1010,-168
1657083612610,-39,-1014,-183
1657083612650,-42,-1006,-175
1657083612690,-46,-1014,-168
1657083612730,-34,-1008,-174
1657083612770,-40,-1008,-177
1657083612810,-38,-1008,-181
1657083612850,-35,-1006,-176
1657083612890,-34,-1009,-183
1657083612930,-34,-1008,-183
1657083612970,-38,-1009,-182
1657083613010,-36,-1008,-176
1657083613050,-40,-1005,-183
1657083613090,-40,-1013,-181
1657083613130,-43,-1002,-179
1657083613170,-37,-1010,-179
1657083613210,-31,-1009,-185
1657083613250,-33,-1007,-179
1657083613290,-47,-1006,-181
1657083613330,-42,-1008,-184
1657083613370,-42,-1000,-181
1657083613410,-36,-1007,-189
1657083613450,-42,-1007,-176
1657083613490,-37,-1009,-175
1657083613530,-32,-1008,-184
1657083613570,-34,-1010,-176
1657083613610,-37,-1011,-178
1657083613650,-31,-1008,-186
1657083613690,-35,-1003,-175
1657083613730,-33,-1007,-175
1657083613770,-33,-1007,-179
1657083613810,-33,-1006,-179
1657083613850,-32,-1012,-180
1657083613890,-33,-1001,-184
1657083613930,-38,-1010,-181
1657083613970,-32,-1007,-183
1657083614010,-38,-1008,-176
1657083614050,-34,-1006,-181
1657083614090,-41,-1007,-187
1657083614130,-35,-1005,-178
1657083614170,-33,-1018,-194
1657083614210,-38,-1003,-188
1657083614250,-39,-1014,-188
1657083614290,-35,-1010,-181
1657083614330,-33,-1004,-178
1657083614370,-37,-1005,-195
1657083614410,-29,-1002,-181
1657083614450,-38,-1010,-179
1657083614490,-38,-1008,-184
1657083614530,-41,-1007,-189
1657083614570,-23,-1015,-198
1657083614610,-47,-981,-164
1657083614650,-25,-1008,-201
1657083614690,-34,-1011,-190
1657083614730,-20,-989,-176
1657083614770,-59,-1024,-183
1657083614810,-38,-1010,-178
1657083614850,-31,-1004,-169
1657083614890,-40,-1018,-175
1657083614930,-30,-1006,-175
1657083614970,-46,-1019,-170
1657083615010,-33,-1008,-166
1657083615050,-40,-1013,-185
1657083615090,-23,-1007,-191
1657083615130,-18,-994,-187
1657083615170,-12,-993,-203
1657083615210,-33,-1009,-197
1657083615250,-15,-1001,-169
1657083615290,-23,-1001,-194
1657083615330,-26,-1002,-197
1657083615370,-20,-1005,-190
1657083615410,-21,-1009,-184
1657083615450,-40,-1025,-194
1657083615490,-25,-1021,-172
1657083615530,-34,-1004,-142
1657083615570,-29,-1014,-174
1657083615610,-34,-1011,-160
1657083615650,-25,-1000,-155
1657083615690,-26,-1017,-185
1657083615730,-16,-995,-170
1657083615770,-14,-1000,-164
1657083615810,-15,-1013,-188
1657083615850,-19,-1005,-164
1657083615890,-50,-1000,-162
1657083615930,-13,-1005,-176
1657083615970,-6,-994,-178
1657083616010,-17,-1005,-188
1657083616050,-20,-1007,-192
1657083616090,-18,-1006,-190
1657083616130,-17,-1011,-205
1657083616170,-1,-1010,-212
1657083616210,-1,-995,-200
1657083616250,6,-995,-208
1657083616290,-8,-1013,-229
1657083616330,-9,-994,-193
1657083616370,-11,-1015,-211
1657083616410,26,-995,-243
1657083616450,-12,-1010,-231
1657083616490,-6,-982,-190
1657083616530,-33,-1023,-234
1657083616570,26,-982,-218
1657083616610,8,-1011,-247
1657083616650,20,-980,-231
1657083616690,16,-998,-237
1657083616730,25,-995,-229
1657083616770,22,-960,-207
1657083616810,18,-991,-231
1657083616850,33,-980,-208
1657083616890,12,-1003,-232
1657083616930,29,-1002,-232
1657083616970,35,-978,-223
1657083617010,18,-1004,-250
1657083617050,39,-989,-220
1657083617090,15,-1005,-241
1657083617130,27,-991,-221
1657083617170,2,-1011,-208
1657083617210,5,-1014,-214
1657083617250,7,-1007,-191
1657083617290,21,-991,-194
1657083617330,-5,-1011,-178
1657083617370,8,-990,-188
1657083617410,9,-997,-189
1657083617450,-8,-1005,-202
1657083617490,-10,-1005,-187
1657083617530,-38,-1028,-192
1657083617570,-16,-1008,-195
1657083617610,-27,-1000,-226
1657083617650,-16,-1000,-220
1657083617690,-25,-999,-225
1657083617730,1,-994,-229
1657083617770,-10,-1001,-266
1657083617810,-4,-996,-268
1657083617850,42,-979,-291
1657083617890,68,-998,-312
1657083617930,63,-974,-301
1657083617970,48,-979,-309
1657083618010,62,-976,-301
1657083618050,52,-981,-301
1657083618090,60,-981,-313
1657083618130,72,-978,-332
1657083618170,86,-962,-332
1657083618210,91,-959,-338
1657083618250,104,-963,-348
1657083618290,130,-956,-369
1657083618330,109,-926,-376
1657083618370,120,-949,-353
1657083618410,108,-962,-381
1657083618450,121,-933,-373
1657083618490,132,-992,-510
1657083618530,133,-849,-315
1657083618570,112,-920,-376
1657083618610,108,-965,-421
1657083618650,149,-900,-363
1657083618690,119,-956,-433
1657083618730,124,-930,-392
1657083618770,112,-935,-369
1657083618810,141,-965,-402
1657083618850,116,-944,-373
1657083618890,141,-948,-344
1657083618930,135,-929,-399
1657083618970,111,-957,-377
1657083619010,118,-951,-371
1657083619050,96,-965,-336
1657083619090,81,-973,-369
1657083619130,136,-943,-368
1657083619170,132,-938,-390
1657083619210,142,-924,-384
1657083619250,128,-942,-351
1657083619290,98,-972,-395
1657083619330,121,-943,-365
1657083619370,134,-942,-384
1657083619410,170,-925,-391
1657083619450,118,-942,-420
1657083619490,133,-922,-366
1657083619530,125,-946,-367
1657083619570,124,-941,-369
1657083619610,131,-946,-376
1657083619650,140,-942,-413
1657083619690,97,-934,-361
1657083619730,102,-973,-370
1657083619770,113,-928,-354
1657083619810,118,-946,-402
1657083619850,98,-947,-357
1657083619890,101,-964,-369
1657083619930,91,-967,-387
1657083619970,92,-954,-391
1657083620010,134,-934,-392
1657083620050,149,-911,-392
1657083620090,111,-958,-397
1657083620130,101,-952,-365
1657083620170,101,-955,-386
1657083620210,102,-950,-379
1657083620250,114,-947,-372
1657083620290,80,-953,-363
1657083620330,122,-946,-370
1657083620370,119,-939,-374
1657083620410,97,-953,-402
1657083620450,112,-952,-361
1657083620490,135,-920,-388
1657083620530,113,-949,-358
1657083620570,98,-951,-399
1657083620610,124,-937,-361
1657083620650,110,-935,-407
1657083620690,110,-937,-348
1657083620730,126,-966,-397
1657083620770,162,-940,-381
1657083620810,195,-949,-446
1657083620850,190,-1125,-644
1657083620890,113,-835,-399
1657083620930,155,-854,-373
1657083620970,107,-986,-463
1657083621010,154,-930,-371
1657083621050,163,-910,-422
1657083621090,155,-927,-442
1657083621130,152,-922,-384
1657083621170,140,-929,-400
1657083621210,137,-930,-449
1657083621250,173,-895,-405
1657083621290,141,-926,-418
1657083621330,146,-917,-419
1657083621370,140,-930,-407
1657083621410,158,-921,-419
1657083621450,155,-916,-446
1657083621490,123,-921,-418
1657083621530,144,-907,-389
1657083621570,159,-909,-400
1657083621610,135,-931,-411
1657083621650,129,-929,-396
1657083621690,114,-949,-399
1657083621730,145,-916,-419
1657083621770,147,-929,-385
1657083621810,118,-940,-402
1657083621850,129,-938,-443
1657083621890,138,-915,-365
1657083621930,133,-929,-376
1657083621970,140,-922,-379
1657083622010,132,-943,-425
1657083622050,140,-929,-385
1657083622090,134,-937,-409
1657083622130,147,-918,-416
1657083622170,147,-906,-412
1657083622210,145,-898,-421
1657083622250,159,-911,-433
1657083622290,134,-912,-438
1657083622330,175,-898,-423
1657083622370,156,-922,-474
1657083622410,171,-886,-483
1657083622450,173,-894,-432
1657083622490,138,-914,-446
1657083622530,155,-920,-419
1657083622570,164,-914,-445
1657083622610,164,-899,-441
1657083622650,154,-920,-432
1657083622690,143,-876,-410
1657083622730,169,-881,-412
1657083622770,160,-904,-426
1657083622810,165,-904,-444
1657083622850,173,-906,-463
1657083622890,153,-904,-417
1657083622930,152,-908,-458
1657083622970,191,-906,-436
1657083623010,169,-888,-487
1657083623050,170,-887,-430
1657083623090,154,-890,-437
1657083623130,158,-920,-452
1657083623170,168,-885,-456
1657083623210,185,-891,-416
1657083623250,121,-894,-626
1657083623290,212,-865,-404
1657083623330,136,-921,-500
1657083623370,169,-892,-465
1657083623410,191,-879,-462
1657083623450,163,-898,-480
1657083623490,187,-903,-464
1657083623530,177,-890,-478
1657083623570,155,-876,-491
1657083623610,167,-881,-488
1657083623650,165,-888,-481
1657083623690,166,-881,-473
1657083623730,187,-896,-487
1657083623770,190,-862,-492
1657083623810,170,-886,-484
1657083623850,166,-872,-491
1657083623890,194,-853,-337
1657083623930,138,-880,-527
1657083623970,212,-799,-462
1657083624010,162,-907,-477
1657083624050,159,-881,-414
1657083624090,150,-904,-520
1657083624130,211,-844,-466
1657083624170,165,-908,-470
1657083624210,159,-927,-491
1657083624250,159,-895,-481
1657083624290,184,-866,-519
1657083624330,206,-855,-503
1657083624370,172,-873,-480
1657083624410,168,-874,-482
1657083624450,155,-909,-475
1657083624490,160,-884,-498
1657083624530,207,-886,-491
1657083624570,147,-935,-585
1657083624610,118,-922,-550
1657083624650,188,-862,-457
1657083624690,191,-877,-490
1657083624730,154,-888,-502
1657083624770,152,-891,-498
1657083624810,161,-874,-480
1657083624850,134,-893,-542
1657083624890,156,-892,-492
1657083624930,166,-862,-504
1657083624970,150,-875,-522
1657083625010,129,-854,-506
1657083625050,147,-874,-540
1657083625090,144,-828,-559
1657083625130,87,-900,-537
1657083625170,123,-889,-457
1657083625210,162,-899,-670
1657083625250,193,-796,-591
1657083625290,128,-876,-535
1657083625330,111,-893,-497
1657083625370,127,-899,-457
1657083625410,103,-930,-549
1657083625450,164,-818,-517
1657083625490,161,-861,-535
1657083625530,93,-877,-465
1657083625570,111,-891,-507
1657083625610,155,-863,-522
1657083625650,109,-890,-520
1657083625690,141,-884,-524
1657083625730,171,-848,-515
1657083625770,109,-889,-501
1657083625810,95,-913,-487
1657083625850,159,-897,-488
1657083625890,103,-896,-601
1657083625930,84,-884,-451
1657083625970,106,-863,-459
1657083626010,178,-826,-580
1657083626050,138,-874,-527
1657083626090,102,-891,-498
1657083626130,155,-872,-450
1657083626170,147,-867,-549
1657083626210,120,-882,-496
1657083626250,95,-878,-454
1657083626290,83,-890,-513
1657083626330,229,-891,-509
1657083626370,-61,-724,-611
1657083626410,-39,-1029,-296
1657083626450,-66,-956,-363
1657083626490,97,-861,-643
1657083626530,135,-924,-572
1657083626570,48,-899,-510
1657083626610,0,-865,-353
1657083626650,71,-993,-493
1657083626690,77,-907,-464
1657083626730,-14,-964,-456
1657083626770,-17,-918,-434
1657083626810,11,-945,-418
1657083626850,-35,-949,-438
1657083626890,41,-915,-472
1657083626930,59,-884,-439
1657083626970,-11,-942,-437
1657083627010,55,-905,-477
1657083627050,44,-898,-427
1657083627090,29,-941,-477
1657083627130,2,-924,-421
1657083627170,-24,-920,-413
1657083627210,-36,-966,-486
1657083627250,-41,-879,-332
1657083627290,-155,-1045,-195
1657083627330,-194,-1007,-361
1657083627370,-135,-405,-136
1657083627410,-293,-1185,-167
1657083627450,-174,-1142,98
1657083627490,-92,-1011,67
1657083627530,-69,-1005,-1
1657083627570,-89,-1146,-95
1657083627610,22,-968,-46
1657083627650,0,-1015,-9
1657083627690,-86,-1029,-56
1657083627730,-38,-1075,-125
