timestamp,accel_X,accel_Y,accel_Z
1657082172436,72,-963,-324
1657082172476,20,-989,-243
1657082172516,-61,-1026,-202
1657082172556,-52,-1013,-194
1657082172596,-2,-997,-217
1657082172636,-8,-998,-228
1657082172676,-39,-1013,-194
1657082172716,-32,-1004,-215
1657082172756,-9,-1010,-216
1657082172796,0,-983,-211
1657082172836,-15,-1011,-217
1657082172876,-11,-1007,-212
1657082172916,-22,-1002,-214
1657082172956,-7,-1004,-212
1657082172996,-8,-1001,-217
1657082173036,-23,-1006,-233
1657082173076,-16,-998,-217
1657082173116,-21,-1004,-217
1657082173156,-15,-999,-216
1657082173196,-22,-999,-211
1657082173236,-17,-999,-219
1657082173276,-12,-1006,-214
1657082173316,-14,-1008,-217
1657082173356,-8,-1007,-221
1657082173396,-9,-1000,-213
1657082173436,-11,-999,-225
1657082173476,-15,-1000,-218
1657082173516,-13,-1004,-206
1657082173556,-5,-1004,-227
1657082173596,0,-1005,-220
1657082173636,-9,-1002,-225
1657082173676,3,-1003,-208
1657082173716,2,-1009,-230
1657082173756,11,-1001,-220
1657082173796,0,-1001,-227
1657082173836,-3,-1000,-219
1657082173876,9,-1000,-226
1657082173916,7,-1002,-222
1657082173956,9,-996,-220
1657082173996,3,-1007,-226
1657082174036,19,-996,-228
1657082174076,13,-1009,-236
1657082174116,-6,-1005,-219
1657082174156,6,-1003,-232
1657082174196,13,-999,-231
1657082174236,13,-998,-224
1657082174276,12,-998,-228
1657082174316,20,-1007,-233
1657082174356,15,-989,-229
1657082174396,16,-1005,-237
1657082174436,21,-996,-223
1657082174476,15,-998,-230
1657082174516,11,-1008,-239
1657082174556,16,-996,-227
1657082174596,18,-1000,-240
1657082174636,15,-996,-237
1657082174676,17,-995,-231
1657082174716,20,-1003,-230
1657082174756,18,-991,-231
1657082174796,20,-995,-232
1657082174836,21,-997,-235
1657082174876,19,-992,-235
1657082174916,16,-999,-232
1657082174956,15,-997,-224
1657082174996,15,-1002,-226
1657082175036,22,-994,-236
1657082175076,26,-996,-235
1657082175116,14,-994,-224
1657082175156,9,-997,-227
1657082175196,20,-999,-230
1657082175236,10,-994,-220
1657082175276,20,-1000,-231
1657082175316,21,-999,-229
1657082175356,13,-1007,-232
1657082175396,22,-1000,-231
1657082175436,25,-1002,-228
1657082175476,22,-993,-224
1657082175516,13,-1001,-230
1657082175556,16,-1001,-223
1657082175596,21,-994,-234
1657082175636,22,-998,-228
1657082175676,23,-997,-236
1657082175716,26,-998,-238
1657082175756,31,-997,-237
1657082175796,22,-997,-239
1657082175836,25,-991,-225
1657082175876,28,-1003,-244
1657082175916,20,-988,-226
1657082175956,20,-992,-233
1657082175996,24,-994,-240
1657082176036,24,-996,-227
1657082176076,22,-995,-234
1657082176116,28,-999,-230
1657082176156,23,-1000,-236
1657082176196,26,-994,-233
1657082176236,21,-998,-233
1657082176276,26,-1001,-230
1657082176316,20,-999,-224
1657082176356,30,-996,-231
1657082176396,31,-995,-242
1657082176436,20,-998,-237
1657082176476,20,-993,-228
1657082176516,23,-998,-231
1657082176556,28,-996,-230
1657082176596,23,-995,-244
1657082176636,24,-990,-230
1657082176676,27,-1001,-237
1657082176716,32,-999,-230
1657082176756,26,-998,-231
1657082176796,29,-995,-242
1657082176836,22,-994,-225
1657082176876,25,-1002,-232
1657082176916,26,-998,-240
1657082176956,25,-994,-236
1657082176996,24,-995,-227
1657082177036,21,-991,-230
1657082177076,30,-999,-241
1657082177116,27,-990,-234
1657082177156,21,-1002,-233
1657082177196,27,-998,-222
1657082177236,32,-998,-240
1657082177276,24,-988,-224
1657082177316,29,-1001,-238
1657082177356,27,-997,-241
