timestamp,accel_X,accel_Y,accel_Z
1657078774972,422,793,-514
1657078775012,416,786,-516
1657078775052,426,771,-512
1657078775092,424,787,-517
1657078775132,409,783,-512
1657078775172,416,780,-505
1657078775212,422,791,-512
1657078775252,413,785,-520
1657078775292,414,785,-512
1657078775332,427,779,-509
1657078775372,426,780,-509
1657078775412,416,786,-506
1657078775452,409,795,-527
1657078775492,408,790,-483
1657078775532,434,778,-534
1657078775572,408,791,-500
1657078775612,436,786,-519
1657078775652,414,788,-504
1657078775692,412,789,-515
1657078775732,422,785,-515
1657078775772,420,789,-513
1657078775812,415,786,-512
1657078775852,418,786,-517
1657078775892,419,787,-511
1657078775932,420,792,-505
1657078775972,411,791,-511
1657078776012,404,791,-521
1657078776052,421,787,-503
1657078776092,409,783,-519
1657078776132,409,788,-513
1657078776172,420,792,-509
1657078776212,424,795,-499
1657078776252,417,798,-494
1657078776292,423,784,-524
1657078776332,415,783,-492
1657078776372,432,778,-513
1657078776412,410,794,-500
1657078776452,421,780,-517
1657078776492,429,793,-501
1657078776532,426,780,-506
1657078776572,419,788,-513
1657078776612,419,779,-504
1657078776652,427,793,-523
1657078776692,418,787,-506
1657078776732,424,790,-505
1657078776772,431,785,-498
1657078776812,452,801,-489
1657078776852,434,798,-492
1657078776892,427,800,-497
1657078776932,430,799,-485
1657078776972,440,804,-476
1657078777012,443,801,-464
1657078777052,449,787,-489
1657078777092,436,783,-479
1657078777132,429,779,-493
1657078777172,444,805,-463
1657078777212,486,826,-424
1657078777252,461,938,-436
1657078777292,440,847,-405
1657078777332,436,809,-479
1657078777372,447,755,-471
1657078777412,419,743,-485
1657078777452,453,747,-529
1657078777492,467,721,-514
1657078777532,444,707,-499
1657078777572,450,748,-553
1657078777612,460,684,-484
1657078777652,386,693,-493
1657078777692,399,738,-504
1657078777732,567,764,-548
1657078777772,546,704,-589
1657078777812,394,646,-661
1657078777852,497,854,-763
1657078777892,672,986,-717
1657078777932,667,839,-473
1657078777972,434,534,-575
1657078778012,326,306,-224
1657078778052,257,370,-193
1657078778092,354,843,-616
1657078778132,495,792,-526
1657078778172,731,924,-401
1657078778212,625,942,-546
1657078778252,508,794,-488
1657078778292,656,703,-489
1657078778332,313,1619,-823
1657078778372,101,919,-653
1657078778412,480,1146,-455
1657078778452,441,1232,-690
1657078778492,406,1299,-1056
1657078778532,941,1200,-1015
1657078778572,810,461,-411
1657078778612,954,475,-294
1657078778652,818,2,154
1657078778692,318,-229,-105
1657078778732,321,-39,-278
1657078778772,472,507,-975
1657078778812,524,80,-1112
1657078778852,193,25,-1140
1657078778892,250,109,-1089
1657078778932,116,65,-804
1657078778972,191,171,-1098
1657078779012,484,88,-847
1657078779052,235,159,-1124
1657078779092,330,60,-924
1657078779132,369,95,-913
1657078779172,337,64,-863
1657078779212,276,28,-400
1657078779252,212,981,-199
1657078779292,479,377,-1295
1657078779332,664,264,-1284
1657078779372,331,-10,-719
1657078779412,181,-67,-639
1657078779452,332,-24,-1045
1657078779492,363,-23,-922
1657078779532,439,-21,-948
1657078779572,566,65,-1055
1657078779612,467,-13,-863
1657078779652,352,-86,-848
1657078779692,452,-18,-966
1657078779732,425,-37,-845
1657078779772,384,-35,-797
1657078779812,190,240,188
1657078779852,803,657,-1693
1657078779892,348,488,-1260
1657078779932,489,223,-628
1657078779972,328,107,-841
