timestamp,accel_X,accel_Y,accel_Z
1657206167717,-818,-292,-728
1657206167757,-655,-182,-599
1657206167797,-562,-273,-862
1657206167837,-649,-245,-726
1657206167877,-538,-240,-873
1657206167917,-606,-252,-839
1657206167957,-461,-165,-841
1657206167997,-511,-214,-898
1657206168037,-541,-252,-890
1657206168077,-467,-204,-856
1657206168117,-487,-262,-892
1657206168157,-531,-221,-894
1657206168197,-484,-176,-847
1657206168237,-504,-173,-908
1657206168277,-514,-155,-895
1657206168317,-499,-159,-910
1657206168357,-564,-208,-885
1657206168397,-532,-220,-895
1657206168437,-518,-228,-882
1657206168477,-498,-193,-835
1657206168517,-441,-192,-874
1657206168557,-448,-158,-834
1657206168597,-467,-184,-891
1657206168637,-478,-195,-902
1657206168677,-389,-166,-829
1657206168717,-743,-449,-1045
1657206168757,-504,-232,-894
1657206168797,-476,-233,-877
1657206168837,-597,-307,-982
1657206168877,-469,-208,-874
1657206168917,-474,-142,-794
1657206168957,-530,-210,-861
1657206168997,-577,-235,-888
1657206169037,-590,-227,-829
1657206169077,-495,-142,-755
1657206169117,-469,-127,-845
1657206169157,-588,-189,-906
1657206169197,-604,-164,-804
1657206169237,-575,-271,-794
1657206169277,-701,-281,-696
1657206169317,-681,-272,-592
1657206169357,-592,-281,-712
1657206169397,-572,-260,-627
1657206169437,-415,-280,-716
1657206169477,-571,-445,-806
1657206169517,-550,-559,-919
1657206169557,-573,-508,-902
1657206169597,-651,-573,-841
1657206169637,-658,-570,-781
1657206169677,-557,-528,-588
1657206169717,-625,-554,-575
1657206169757,-624,-644,-462
1657206169797,-552,-674,-438
1657206169837,-452,-541,-426
1657206169877,-225,-499,-339
1657206169917,-704,-1476,-688
1657206169957,-723,-1002,-446
1657206169997,-558,-821,-458
1657206170037,-482,-570,-349
1657206170077,-481,-560,-411
1657206170117,-547,-505,-508
1657206170157,-635,-548,-487
1657206170197,-631,-537,-571
1657206170237,-786,-680,-525
1657206170277,-682,-549,-545
1657206170317,-588,-420,-495
1657206170357,-747,-544,-467
1657206170397,-806,-502,-504
1657206170437,-881,-575,-467
1657206170477,-838,-563,-521
1657206170517,-870,-641,-465
1657206170557,-761,-617,-521
1657206170597,-733,-575,-492
1657206170637,-790,-622,-553
1657206170677,-694,-522,-515
1657206170717,-686,-483,-461
1657206170757,-673,-395,-431
1657206170797,-658,-342,-417
1657206170837,-695,-375,-479
1657206170877,-723,-361,-526
1657206170917,-757,-394,-533
1657206170957,-771,-378,-563
1657206170997,-961,-462,-617
1657206171037,-961,-433,-677
1657206171077,-855,-461,-690
1657206171117,-672,-445,-697
1657206171157,-588,-438,-657
1657206171197,-519,-491,-679
1657206171237,-449,-459,-611
1657206171277,-570,-495,-603
1657206171317,-621,-504,-605
1657206171357,-544,-545,-713
1657206171397,-388,-671,-818
1657206171437,-341,-563,-816
1657206171477,-242,-502,-737
1657206171517,-243,-528,-693
1657206171557,-331,-646,-681
1657206171597,-239,-354,-596
1657206171637,-648,-805,-946
1657206171677,-428,-491,-698
1657206171717,-539,-387,-333
1657206171757,-585,-745,-796
1657206171797,-610,-539,-557
1657206171837,-566,-584,-538
1657206171877,-491,-482,-408
1657206171917,-816,-696,-278
1657206171957,-663,-502,-334
1657206171997,-293,-528,-390
1657206172037,-570,-623,-340
1657206172077,-155,-370,-295
1657206172117,-264,-514,9
1657206172157,-182,-600,148
1657206172197,-106,-688,332
1657206172237,-104,-1237,689
1657206172277,-341,-1792,875
1657206172317,-543,-2046,891
1657206172357,-1096,-2046,701
1657206172397,-982,-1415,634
1657206172437,-265,-1138,552
1657206172477,31,-941,224
1657206172517,-76,-911,27
1657206172557,-113,-873,61
1657206172597,-123,-859,275
1657206172637,-195,-959,334
1657206172677,-226,-1017,313
1657206172717,-245,-1033,325
1657206172757,-248,-1011,353
1657206172797,-189,-1007,351
1657206172837,-180,-1010,332
1657206172877,-215,-1014,347
1657206172917,-197,-1003,326
1657206172957,-145,-967,279
1657206172997,-123,-938,245
1657206173037,-135,-926,208
1657206173077,-212,-962,179
1657206173117,-86,-881,185
1657206173157,-112,-878,214
1657206173197,-170,-896,233
1657206173237,-198,-939,213
1657206173277,-178,-943,221
1657206173317,-284,-1015,232
1657206173357,-295,-1040,241
1657206173397,-359,-1080,268
1657206173437,-377,-1036,318
1657206173477,-330,-964,335
1657206173517,-292,-933,325
1657206173557,-285,-933,299
1657206173597,-263,-954,283
1657206173637,-279,-973,279
1657206173677,-284,-1009,300
1657206173717,-382,-1080,296
1657206173757,-264,-999,313
1657206173797,-266,-953,360
1657206173837,-302,-949,313
1657206173877,-251,-907,290
1657206173917,-232,-867,331
1657206173957,-265,-856,321
1657206173997,-239,-848,318
1657206174037,-308,-927,309
