timestamp,accel_X,accel_Y,accel_Z
1657206537637,-704,348,-707
1657206537677,-687,341,-687
1657206537717,-688,319,-666
1657206537757,-707,339,-668
1657206537797,-701,346,-661
1657206537837,-703,360,-673
1657206537877,-688,356,-671
1657206537917,-692,352,-672
1657206537957,-691,356,-686
1657206537997,-701,348,-669
1657206538037,-703,376,-693
1657206538077,-689,356,-679
1657206538117,-691,360,-675
1657206538157,-691,358,-650
1657206538197,-699,374,-651
1657206538237,-671,388,-683
1657206538277,-671,403,-672
1657206538317,-702,380,-643
1657206538357,-702,353,-639
1657206538397,-679,342,-637
1657206538437,-710,373,-666
1657206538477,-713,363,-688
1657206538517,-671,321,-729
1657206538557,-692,391,-712
1657206538597,-578,400,-766
1657206538637,-725,390,-697
1657206538677,-552,421,-776
1657206538717,-561,378,-716
1657206538757,-463,409,-787
1657206538797,-423,399,-830
1657206538837,-459,358,-814
1657206538877,-362,425,-855
1657206538917,-444,483,-927
1657206538957,-411,482,-898
1657206538997,-395,450,-958
1657206539037,-334,347,-878
1657206539077,-368,339,-845
1657206539117,-359,341,-949
1657206539157,-317,271,-921
1657206539197,-270,215,-831
1657206539237,-205,85,-717
1657206539277,-23,340,-547
1657206539317,-686,631,-1904
1657206539357,-153,634,-1533
1657206539397,-227,410,-889
1657206539437,-217,-67,-625
1657206539477,-350,-51,-599
1657206539517,-317,149,-795
1657206539557,-387,129,-964
1657206539597,-564,232,-925
1657206539637,-667,384,-912
1657206539677,-740,278,-873
1657206539717,-818,147,-159
1657206539757,-1212,-300,617
1657206539797,-1000,-277,822
1657206539837,-439,-635,586
1657206539877,-570,-605,657
1657206539917,-441,-668,527
1657206539957,-398,-733,579
1657206539997,-340,-745,420
1657206540037,-407,-727,439
1657206540077,-415,-745,434
1657206540117,-483,-698,383
1657206540157,-415,-740,369
1657206540197,-494,-688,383
1657206540237,-544,-689,433
1657206540277,-496,-763,473
1657206540317,-490,-694,439
1657206540357,-506,-709,500
1657206540397,-473,-705,567
1657206540437,-599,-730,650
1657206540477,-594,-715,619
1657206540517,-591,-666,535
1657206540557,-590,-641,520
1657206540597,-486,-581,540
1657206540637,-633,-655,398
1657206540677,-913,-450,805
1657206540717,-945,-362,452
1657206540757,-888,-301,371
1657206540797,-853,-270,327
1657206540837,-817,-234,273
1657206540877,-789,-113,301
1657206540917,-759,-47,205
1657206540957,-595,154,291
1657206540997,-439,248,135
1657206541037,-302,454,87
1657206541077,-15,583,22
1657206541117,499,559,-158
1657206541157,256,684,394
1657206541197,148,1385,1115
1657206541237,-43,2047,1004
1657206541277,-268,2047,907
1657206541317,-555,2047,898
1657206541357,-777,1504,894
1657206541397,-346,1182,597
1657206541437,101,887,290
1657206541477,247,657,102
1657206541517,-44,867,211
1657206541557,-234,1096,144
1657206541597,-336,1225,89
1657206541637,-255,1174,193
1657206541677,-199,1159,416
1657206541717,-221,1201,519
1657206541757,-135,1192,551
1657206541797,-38,1185,561
1657206541837,33,1135,577
1657206541877,92,1060,569
1657206541917,68,967,572
1657206541957,145,835,528
1657206541997,142,766,463
1657206542037,22,804,388
1657206542077,37,810,282
1657206542117,17,839,207
1657206542157,-40,853,250
1657206542197,-79,956,275
1657206542237,-90,973,239
1657206542277,-59,954,322
1657206542317,-128,975,435
1657206542357,-226,1057,444
1657206542397,-244,1035,435
1657206542437,-146,995,382
1657206542477,-44,990,316
1657206542517,-94,1042,336
1657206542557,-210,1071,406
1657206542597,-234,1052,433
1657206542637,-178,1011,415
1657206542677,-75,991,363
1657206542717,-89,974,369
1657206542757,-60,961,390
1657206542797,-42,963,392
1657206542837,-1,942,394
1657206542877,33,949,385
1657206542917,76,932,349
1657206542957,84,946,335
1657206542997,117,934,335
1657206543037,40,980,371
1657206543077,-13,976,404
1657206543117,-19,982,393
1657206543157,9,950,373
1657206543197,49,930,371
1657206543237,41,918,400
1657206543277,53,894,421
1657206543317,-47,950,426
1657206543357,-83,992,380
1657206543397,-61,993,401
1657206543437,-87,1013,376
1657206543477,-82,980,413
1657206543517,-64,983,416
1657206543557,-105,997,411
1657206543597,-113,945,405
1657206543637,-65,901,381
1657206543677,-21,899,350
1657206543717,-25,900,332
1657206543757,-81,948,337
1657206543797,-131,951,385
1657206543837,-173,964,420
1657206543877,-168,962,420
1657206543917,-102,946,424
1657206543957,-72,916,390
1657206543997,-3,925,362
1657206544037,146,1030,306
1657206544077,117,989,337
1657206544117,33,865,419
1657206544157,60,888,474
1657206544197,30,940,361
1657206544237,11,919,410
1657206544277,2,944,444
1657206544317,-2,999,491
1657206544357,-95,996,466
1657206544397,-119,983,400
1657206544437,-111,998,300
1657206544477,-40,997,278
1657206544517,-51,995,291
1657206544557,-66,1004,285
1657206544597,-32,977,276
1657206544637,28,947,277
1657206544677,119,1017,404
1657206544717,89,977,554
1657206544757,87,854,532
1657206544797,186,875,427
1657206544837,130,1009,323
1657206544877,34,1048,352
1657206544917,-107,1018,407
1657206544957,-120,942,383
1657206544997,-75,1029,414
1657206545037,-100,1116,393
1657206545077,-536,1036,497
1657206545117,-177,1022,533
1657206545157,-81,995,522
1657206545197,-56,946,529
1657206545237,2,898,506
1657206545277,-6,850,452
1657206545317,-23,828,385
1657206545357,-49,816,368
1657206545397,-24,876,293
1657206545437,-53,909,275
1657206545477,-79,920,276
1657206545517,-65,921,266
1657206545557,-68,927,298
1657206545597,-22,1000,331
1657206545637,-82,1003,405
1657206545677,-131,1022,359
1657206545717,-81,1073,362
1657206545757,-126,1099,325
1657206545797,-146,1004,293
1657206545837,-131,964,320
1657206545877,-41,955,338
1657206545917,19,973,360
1657206545957,0,958,342
1657206545997,-11,981,317
1657206546037,0,963,280
1657206546077,23,975,304
1657206546117,70,946,338
1657206546157,55,954,361
1657206546197,48,951,316
1657206546237,57,954,291
1657206546277,61,962,270
1657206546317,23,965,261
1657206546357,41,960,285
1657206546397,-3,947,309
1657206546437,-2,1010,397
1657206546477,-8,1038,432
1657206546517,-62,1059,425
1657206546557,-94,1073,416
1657206546597,-127,944,404
1657206546637,-57,920,403
1657206546677,-70,1042,396
1657206546717,-76,1125,464
1657206546757,-226,995,506
1657206546797,-122,1100,564
1657206546837,-29,1018,595
1657206546877,28,928,502
1657206546917,45,856,435
1657206546957,47,807,394
1657206546997,-6,843,327
1657206547037,-61,844,316
1657206547077,-73,811,374
1657206547117,-80,834,340
1657206547157,-67,856,275
1657206547197,-42,898,284
1657206547237,32,1035,265
1657206547277,-58,1052,334
1657206547317,-118,1044,409
1657206547357,-157,1065,360
1657206547397,-254,1066,246
1657206547437,-132,1013,313
1657206547477,-113,1054,329
1657206547517,-79,1012,415
1657206547557,-81,908,413
1657206547597,-80,875,362
1657206547637,-64,927,292
1657206547677,-84,1029,281
1657206547717,-124,1092,254
1657206547757,-142,1048,262
1657206547797,-100,985,252
1657206547837,-44,961,238
1657206547877,-48,957,271
1657206547917,-102,980,297
1657206547957,-118,974,313
1657206547997,-180,996,307
1657206548037,-171,1167,214
1657206548077,-89,1215,257
1657206548117,-249,1107,329
1657206548157,-342,1027,388
1657206548197,-94,1075,406
1657206548237,-293,1162,373
1657206548277,-346,1053,478
1657206548317,-337,938,488
1657206548357,-280,887,396
1657206548397,-295,868,333
1657206548437,-281,804,263
1657206548477,-289,764,194
1657206548517,-381,790,174
1657206548557,-368,756,154
1657206548597,-429,854,187
1657206548637,-452,982,163
1657206548677,-558,1203,105
1657206548717,-595,1190,59
1657206548757,-731,1084,50
1657206548797,-570,893,-32
1657206548837,-411,813,-137
1657206548877,-475,918,-243
1657206548917,-590,841,-197
1657206548957,-553,743,-219
1657206548997,-645,747,-323
1657206549037,-732,716,-322
1657206549077,-736,639,-380
1657206549117,-775,663,-481
1657206549157,-800,487,-444
1657206549197,-797,445,-488
1657206549237,-784,256,-508
1657206549277,-578,112,-615
1657206549317,-553,83,-623
1657206549357,-339,119,-610
1657206549397,-515,134,-659
1657206549437,-481,308,-895
1657206549477,-478,408,-962
1657206549517,-368,191,-733
1657206549557,-600,314,-893
1657206549597,-512,267,-814
1657206549637,-606,190,-720
1657206549677,-587,296,-826
1657206549717,-461,313,-967
1657206549757,-397,198,-907
1657206549797,-459,300,-930
1657206549837,-560,199,-712
1657206549877,-550,97,-652
1657206549917,-322,12,-552
1657206549957,-266,1635,120
1657206549997,-726,567,-1092
1657206550037,-345,595,-1143
1657206550077,-513,274,-834
1657206550117,-344,154,-592
1657206550157,-411,231,-888
1657206550197,-495,225,-780
1657206550237,-561,354,-853
1657206550277,-499,244,-822
1657206550317,-343,140,-741
1657206550357,-360,128,-807
1657206550397,-459,116,-845
1657206550437,-555,95,-841
1657206550477,-546,110,-906
1657206550517,-421,125,-729
1657206550557,-417,304,-725
1657206550597,-319,360,-778
1657206550637,-640,1052,-1255
1657206550677,-463,641,-1395
1657206550717,-505,258,-533
1657206550757,-433,-56,-440
1657206550797,-258,32,-768
1657206550837,-365,165,-737
1657206550877,-619,244,-744
1657206550917,-535,185,-742
1657206550957,-511,130,-698
1657206550997,-341,78,-705
1657206551037,-188,127,-386
1657206551077,-544,2047,56
1657206551117,-478,910,-1171
1657206551157,-460,584,-532
1657206551197,-298,61,-576
1657206551237,-329,118,-849
1657206551277,-359,37,-686
1657206551317,-565,360,-893
1657206551357,-563,372,-868
1657206551397,-477,172,-716
1657206551437,-324,119,-734
1657206551477,-622,420,-1123
1657206551517,-596,365,-1034
1657206551557,-337,49,-814
1657206551597,-323,3,-663
1657206551637,-116,190,-131
1657206551677,-869,1528,-2048
1657206551717,-280,724,-1476
1657206551757,-278,355,-460
1657206551797,-369,-79,-475
1657206551837,-391,101,-772
1657206551877,-368,0,-690
1657206551917,-377,-102,-629
1657206551957,-492,-12,-716
1657206551997,-677,230,-825
1657206552037,-456,520,-435
1657206552077,-874,1034,-2048
1657206552117,-366,1059,-1314
1657206552157,-667,667,-1143
1657206552197,-615,217,-580
1657206552237,-341,198,-692
1657206552277,-455,262,-797
1657206552317,-450,179,-754
1657206552357,-464,243,-963
1657206552397,-518,313,-989
1657206552437,-524,240,-869
1657206552477,-527,295,-840
1657206552517,-449,258,-871
1657206552557,-469,213,-761
1657206552597,-420,391,-1000
1657206552637,-409,358,-841
1657206552677,-296,99,-341
1657206552717,-2048,1708,-2048
1657206552757,-512,1502,-1342
1657206552797,-396,740,-1222
1657206552837,-324,230,-685
1657206552877,-262,324,-598
1657206552917,-342,307,-680
1657206552957,-540,379,-560
1657206552997,-483,259,-323
1657206553037,-283,379,-483
1657206553077,-71,154,-527
1657206553117,253,58,-338
1657206553157,294,703,-432
1657206553197,309,577,-249
1657206553237,-210,1103,350
1657206553277,-1612,2047,552
1657206553317,-1075,1082,1204
1657206553357,-699,960,1139
1657206553397,-458,1420,498
1657206553437,-510,1189,614
1657206553477,-452,1151,460
1657206553517,-335,1096,421
1657206553557,-167,995,417
1657206553597,-67,910,390
1657206553637,-74,882,360
1657206553677,-89,902,298
1657206553717,-58,881,297
1657206553757,-53,902,323
1657206553797,-44,915,300
1657206553837,25,949,361
1657206553877,63,934,403
1657206553917,40,896,430
1657206553957,-37,807,386
1657206553997,-91,881,460
1657206554037,-44,1088,481
1657206554077,-73,1182,535
1657206554117,-201,1069,560
1657206554157,-242,970,449
1657206554197,-162,948,302
1657206554237,-188,989,246
1657206554277,-234,1040,216
1657206554317,-262,1019,196
1657206554357,-296,999,269
1657206554397,-241,1042,255
1657206554437,-212,1150,325
1657206554477,-79,1307,512
1657206554517,-150,1333,578
1657206554557,-310,1245,504
1657206554597,-215,1108,503
1657206554637,37,1072,553
1657206554677,-21,1080,611
1657206554717,-58,1003,619
1657206554757,35,984,530
1657206554797,73,915,418
1657206554837,92,839,338
1657206554877,92,764,325
1657206554917,78,736,319
1657206554957,38,712,329
1657206554997,-7,744,317
1657206555037,2,821,331
1657206555077,-6,956,353
1657206555117,23,1095,357
1657206555157,65,1209,399
1657206555197,-42,1196,433
1657206555237,-187,1069,427
1657206555277,-250,996,336
1657206555317,-139,1052,256
1657206555357,-110,1084,271
1657206555397,-103,1052,384
1657206555437,-170,954,322
1657206555477,-98,919,252
1657206555517,-76,882,199
1657206555557,-100,936,186
1657206555597,-104,993,205
1657206555637,-117,1034,247
1657206555677,-111,1011,309
1657206555717,-79,1000,334
1657206555757,-21,1074,335
1657206555797,105,1335,464
1657206555837,-13,1370,521
1657206555877,-144,1092,399
1657206555917,55,905,380
1657206555957,98,947,319
1657206555997,-5,971,346
1657206556037,-21,884,437
1657206556077,26,804,463
1657206556117,-67,880,422
1657206556157,-40,922,395
