timestamp,accel_X,accel_Y,accel_Z
1657206808997,-440,129,-873
1657206809037,-455,183,-915
1657206809077,-491,185,-909
1657206809117,-480,157,-883
1657206809157,-514,160,-877
1657206809197,-540,181,-906
1657206809237,-549,171,-882
1657206809277,-566,181,-888
1657206809317,-576,207,-919
1657206809357,-559,201,-839
1657206809397,-565,182,-800
1657206809437,-565,187,-827
1657206809477,-554,151,-806
1657206809517,-594,178,-813
1657206809557,-593,177,-826
1657206809597,-602,199,-854
1657206809637,-585,189,-844
1657206809677,-587,183,-823
1657206809717,-554,165,-811
1657206809757,-567,177,-854
1657206809797,-574,189,-840
1657206809837,-623,230,-858
1657206809877,-577,170,-814
1657206809917,-591,145,-795
1657206809957,-533,112,-794
1657206809997,-546,233,-830
1657206810037,-557,260,-854
1657206810077,-418,190,-944
1657206810117,-431,213,-954
1657206810157,-410,191,-982
1657206810197,-388,192,-967
1657206810237,-370,145,-879
1657206810277,-301,173,-925
1657206810317,-290,193,-793
1657206810357,-294,443,-712
1657206810397,-275,554,-1168
1657206810437,-466,398,-1422
1657206810477,-271,180,-777
1657206810517,-183,-64,-758
1657206810557,-298,92,-828
1657206810597,-409,176,-1043
1657206810637,-427,112,-919
1657206810677,-454,143,-896
1657206810717,-453,179,-914
1657206810757,-415,109,-880
1657206810797,-475,81,-859
1657206810837,-462,151,-969
1657206810877,-512,144,-949
1657206810917,-500,165,-953
1657206810957,-454,154,-926
1657206810997,-453,113,-859
1657206811037,-362,48,-914
1657206811077,-385,184,-937
1657206811117,-403,308,-1015
1657206811157,-332,222,-974
1657206811197,-308,228,-917
1657206811237,-317,245,-936
1657206811277,-277,126,-836
1657206811317,-223,187,-753
1657206811357,-102,740,-694
1657206811397,-300,429,-1085
1657206811437,-468,388,-1098
1657206811477,-247,63,-797
1657206811517,-233,76,-817
1657206811557,-359,166,-963
1657206811597,-328,135,-951
1657206811637,-380,96,-880
1657206811677,-423,224,-1020
1657206811717,-413,164,-922
1657206811757,-442,239,-1021
1657206811797,-414,209,-965
1657206811837,-401,191,-914
1657206811877,-370,178,-888
1657206811917,-395,179,-867
1657206811957,-383,176,-887
1657206811997,-458,245,-954
1657206812037,-401,222,-944
1657206812077,-414,256,-979
1657206812117,-436,243,-930
1657206812157,-451,234,-910
1657206812197,-456,230,-887
1657206812237,-479,226,-856
1657206812277,-524,231,-848
1657206812317,-546,243,-842
1657206812357,-582,244,-809
1657206812397,-580,234,-802
1657206812437,-596,251,-765
1657206812477,-643,267,-779
1657206812517,-660,294,-767
1657206812557,-658,307,-769
1657206812597,-642,276,-738
1657206812637,-642,276,-745
1657206812677,-653,298,-768
1657206812717,-634,260,-755
1657206812757,-661,270,-740
1657206812797,-697,324,-759
1657206812837,-684,268,-716
1657206812877,-704,293,-719
1657206812917,-704,318,-748
1657206812957,-697,246,-738
1657206812997,-781,276,-642
1657206813037,-788,247,-568
1657206813077,-812,261,-556
1657206813117,-793,253,-569
1657206813157,-797,228,-573
1657206813197,-824,104,-123
1657206813237,-1045,-283,731
1657206813277,-1131,-31,771
1657206813317,-780,-253,490
1657206813357,-662,-469,781
1657206813397,-670,-398,586
1657206813437,-636,-525,627
1657206813477,-608,-588,880
1657206813517,-581,-608,561
1657206813557,-527,-646,654
1657206813597,-451,-692,615
1657206813637,-453,-710,473
1657206813677,-432,-769,576
1657206813717,-408,-752,492
1657206813757,-392,-820,410
1657206813797,-360,-830,394
1657206813837,-371,-835,347
1657206813877,-293,-833,366
1657206813917,-212,-809,334
1657206813957,-439,-693,326
1657206813997,-637,-618,498
1657206814037,-925,-415,431
1657206814077,-918,-360,338
1657206814117,-1059,-198,331
1657206814157,-942,-246,188
1657206814197,-1001,-123,132
1657206814237,-1044,-30,35
1657206814277,-1170,176,-17
1657206814317,-1106,112,-127
1657206814357,-961,80,76
1657206814397,-1078,65,137
1657206814437,-1034,86,50
1657206814477,-1026,84,56
1657206814517,-1016,39,8
1657206814557,-1019,78,-16
1657206814597,-972,93,-102
1657206814637,-991,132,-47
1657206814677,-956,210,-11
1657206814717,-1027,115,-48
1657206814757,-1026,134,15
1657206814797,-1012,154,5
1657206814837,-1068,140,-19
1657206814877,-1021,131,-30
1657206814917,-1024,137,-39
1657206814957,-1031,136,-24
1657206814997,-1015,140,-32
1657206815037,-1033,136,-69
1657206815077,-1039,143,-42
1657206815117,-979,154,-64
1657206815157,-1046,134,-64
1657206815197,-1038,150,11
1657206815237,-992,150,-36
1657206815277,-958,119,-135
1657206815317,-969,280,-34
1657206815357,-968,199,-52
1657206815397,-984,172,4
1657206815437,-1030,159,-2
1657206815477,-1039,129,22
1657206815517,-1060,84,80
1657206815557,-1083,98,91
1657206815597,-1099,76,72
1657206815637,-1043,95,86
1657206815677,-1042,101,97
1657206815717,-1000,82,77
1657206815757,-995,98,91
1657206815797,-1031,113,125
1657206815837,-1000,81,148
1657206815877,-972,94,140
1657206815917,-1013,107,125
1657206815957,-1013,79,141
1657206815997,-1013,69,132
1657206816037,-1042,98,131
1657206816077,-1054,91,138
1657206816117,-1047,87,151
1657206816157,-1032,104,147
1657206816197,-1014,103,155
1657206816237,-1006,100,162
1657206816277,-1011,101,157
1657206816317,-1004,100,161
1657206816357,-973,80,149
1657206816397,-998,97,164
1657206816437,-984,63,161
1657206816477,-982,60,148
1657206816517,-1022,64,166
1657206816557,-1036,69,167
1657206816597,-1030,80,129
1657206816637,-1006,88,117
1657206816677,-1036,100,118
1657206816717,-1068,98,126
1657206816757,-1089,88,145
1657206816797,-1047,141,55
1657206816837,-992,166,-17
1657206816877,-1059,165,-57
1657206816917,-1084,172,-158
1657206816957,-800,304,-479
1657206816997,-856,389,-498
1657206817037,-769,314,-580
1657206817077,-598,291,-572
1657206817117,-635,355,-750
1657206817157,-668,451,-860
1657206817197,-528,417,-885
1657206817237,-507,393,-880
1657206817277,-517,490,-964
1657206817317,-471,399,-824
1657206817357,-267,141,-544
1657206817397,35,383,-415
1657206817437,211,-755,-1233
1657206817477,-306,764,-989
1657206817517,-460,956,-753
1657206817557,-214,262,-507
1657206817597,-266,356,-536
1657206817637,-429,559,-1003
1657206817677,-476,432,-609
1657206817717,-443,466,-575
1657206817757,-208,362,-515
1657206817797,-184,343,-388
1657206817837,-243,484,-463
1657206817877,-175,416,-278
1657206817917,-31,517,-131
1657206817957,45,797,-161
1657206817997,48,1026,-40
1657206818037,-173,1396,202
1657206818077,-415,1730,376
1657206818117,-339,1486,671
1657206818157,-484,1529,808
1657206818197,-491,1527,511
1657206818237,-448,1435,372
1657206818277,-383,1247,289
1657206818317,-307,1112,243
1657206818357,-217,1047,200
1657206818397,-77,1033,199
1657206818437,-57,973,230
1657206818477,-113,1004,269
1657206818517,-57,919,299
1657206818557,-72,929,350
1657206818597,-178,954,337
1657206818637,-198,1012,371
1657206818677,-227,1149,279
1657206818717,-240,1194,198
1657206818757,-155,1073,282
1657206818797,-158,1056,292
1657206818837,-180,1010,292
1657206818877,-119,917,325
1657206818917,-84,812,292
1657206818957,-80,784,257
1657206818997,-65,790,213
1657206819037,-59,815,181
1657206819077,-118,913,163
1657206819117,-204,967,195
1657206819157,-221,978,222
1657206819197,-217,992,197
1657206819237,-203,983,172
1657206819277,-186,989,160
1657206819317,-245,1025,230
1657206819357,-328,1085,285
1657206819397,-373,1165,291
1657206819437,-386,1166,270
1657206819477,-361,1116,267
1657206819517,-279,1066,223
1657206819557,-208,1004,233
1657206819597,-181,995,259
1657206819637,-179,1013,255
1657206819677,-181,1019,265
1657206819717,-155,987,272
1657206819757,-98,983,270
1657206819797,-64,948,282
1657206819837,-48,909,282
1657206819877,-69,892,287
1657206819917,-86,925,223
1657206819957,-89,951,217
1657206819997,-99,958,233
1657206820037,-127,962,253
1657206820077,-128,994,226
1657206820117,-162,996,226
1657206820157,-165,1001,223
1657206820197,-185,1028,211
1657206820237,-218,1017,221
1657206820277,-231,1001,254
1657206820317,-255,1018,250
1657206820357,-238,1082,276
1657206820397,-243,1095,225
1657206820437,-251,1068,254
1657206820477,-242,1025,288
1657206820517,-210,999,246
1657206820557,-273,1057,247
1657206820597,-221,897,352
1657206820637,-215,826,386
1657206820677,-250,845,340
1657206820717,-235,846,277
1657206820757,-257,937,278
1657206820797,-322,987,305
1657206820837,-319,957,349
1657206820877,-290,930,287
1657206820917,-246,944,273
1657206820957,-248,935,253
1657206820997,-249,923,264
1657206821037,-234,942,289
