timestamp,accel_X,accel_Y,accel_Z
1657304295255,-902,-419,-262
1657304295295,-902,-437,-271
1657304295335,-907,-444,-283
1657304295375,-889,-462,-288
1657304295415,-873,-428,-279
1657304295455,-871,-419,-272
1657304295495,-867,-432,-292
1657304295535,-870,-373,-232
1657304295575,-895,-366,-205
1657304295615,-937,-382,-188
1657304295655,-991,-390,-192
1657304295695,-984,-381,-204
1657304295735,-995,-402,-224
1657304295775,-1034,-529,-111
1657304295815,-956,-465,-160
1657304295855,-930,-375,-217
1657304295895,-999,-433,-161
1657304295935,-924,-380,-177
1657304295975,-946,-388,-64
1657304296015,-921,-397,-27
1657304296055,-920,-366,-77
1657304296095,-920,-348,-36
1657304296135,-923,-296,-65
1657304296175,-951,-310,-36
1657304296215,-995,-301,-50
1657304296255,-1042,-312,-56
1657304296295,-1050,-311,-50
1657304296335,-990,-309,-38
1657304296375,-1008,-315,-16
1657304296415,-965,-315,-26
1657304296455,-978,-340,10
1657304296495,-979,-352,20
1657304296535,-968,-356,9
1657304296575,-955,-353,17
1657304296615,-991,-340,5
1657304296655,-955,-321,6
1657304296695,-1006,-336,4
1657304296735,-1011,-375,41
1657304296775,-982,-311,-38
1657304296815,-927,-278,-23
1657304296855,-990,-313,15
1657304296895,-1013,-346,10
1657304296935,-998,-371,-11
1657304296975,-965,-356,-24
1657304297015,-960,-340,-48
1657304297055,-977,-314,-44
1657304297095,-1066,-345,-64
1657304297135,-1299,-367,-140
1657304297175,-1257,-134,-60
1657304297215,-1132,-124,-239
1657304297255,-933,-44,-77
1657304297295,-1226,176,37
1657304297335,-967,107,44
1657304297375,-1054,105,114
1657304297415,-853,203,21
1657304297455,-813,103,-143
1657304297495,-834,138,-445
1657304297535,-772,258,-228
1657304297575,-495,72,-464
1657304297615,-788,-282,-686
1657304297655,-748,-216,-698
1657304297695,-735,-200,-707
1657304297735,-817,-264,-757
1657304297775,-952,-261,-864
1657304297815,-1129,-234,-916
1657304297855,-673,-152,-606
1657304297895,-688,164,-446
1657304297935,-618,252,-495
1657304297975,-712,253,-451
1657304298015,-783,175,-622
1657304298055,-916,2,-1164
1657304298095,-769,113,-735
1657304298135,-519,363,-565
1657304298175,-594,239,-567
1657304298215,-778,203,-482
1657304298255,-902,129,-362
1657304298295,-1028,145,-470
1657304298335,-936,127,-337
1657304298375,-889,112,-450
1657304298415,-957,49,-404
1657304298455,-1004,12,-405
1657304298495,-1020,31,-451
1657304298535,-1038,33,-377
1657304298575,-1073,7,-364
1657304298615,-958,21,-315
1657304298655,-962,31,-206
1657304298695,-1012,26,-38
1657304298735,-1061,-2,9
1657304298775,-1032,11,30
1657304298815,-1041,18,23
1657304298855,-1082,-26,-43
1657304298895,-1058,-5,-117
1657304298935,-1033,-45,-108
1657304298975,-1007,-7,-147
1657304299015,-998,-26,-115
1657304299055,-973,-46,-65
1657304299095,-949,-83,-66
1657304299135,-1072,-120,-53
1657304299175,-1111,-141,0
1657304299215,-1074,-189,-24
1657304299255,-1051,-162,-70
1657304299295,-1027,-165,-109
1657304299335,-1014,-156,-111
1657304299375,-1025,-170,-89
1657304299415,-1040,-128,-51
1657304299455,-985,-148,-106
1657304299495,-1001,-154,-86
1657304299535,-1078,-189,-59
1657304299575,-1045,-166,-64
1657304299615,-1359,-193,-94
1657304299655,-1375,37,90
1657304299695,-1052,-94,103
1657304299735,-860,364,211
1657304299775,-842,260,110
1657304299815,-775,153,-68
1657304299855,-732,96,-224
1657304299895,-693,94,-306
1657304299935,-567,41,-252
1657304299975,-544,-3,-395
1657304300015,-747,-223,-302
1657304300055,-853,-318,-358
1657304300095,-1211,-456,-292
1657304300135,-1162,-208,-167
1657304300175,-933,-113,-56
1657304300215,-886,-125,7
1657304300255,-865,-172,205
1657304300295,-1040,-427,390
1657304300335,-1016,-427,548
1657304300375,-943,-366,606
1657304300415,-785,-471,569
1657304300455,-801,-568,477
1657304300495,-713,-572,501
1657304300535,-810,-600,524
1657304300575,-743,-610,480
1657304300615,-671,-624,474
1657304300655,-727,-650,503
1657304300695,-700,-639,506
1657304300735,-762,-703,530
1657304300775,-766,-673,515
1657304300815,-734,-692,497
1657304300855,-709,-654,444
1657304300895,-675,-647,441
1657304300935,-697,-684,434
1657304300975,-682,-678,461
1657304301015,-644,-663,466
1657304301055,-612,-661,458
1657304301095,-628,-656,486
1657304301135,-625,-673,464
1657304301175,-608,-665,457
1657304301215,-601,-658,469
1657304301255,-621,-667,474
1657304301295,-634,-642,494
1657304301335,-654,-664,482
1657304301375,-668,-664,471
1657304301415,-677,-647,465
1657304301455,-697,-627,484
1657304301495,-715,-588,510
1657304301535,-927,-679,594
1657304301575,-2000,-1093,715
1657304301615,-1574,-675,891
1657304301655,-1385,-79,831
1657304301695,-1280,-597,216
1657304301735,-965,-353,47
1657304301775,-999,-241,106
1657304301815,-789,-61,-22
1657304301855,-592,60,-253
1657304301895,-636,320,-75
1657304301935,-509,256,-195
1657304301975,-463,259,-151
1657304302015,-453,371,-182
1657304302055,-492,401,-287
1657304302095,-604,525,-54
1657304302135,-973,331,10
1657304302175,-528,618,-314
1657304302215,-657,683,-135
1657304302255,-934,634,111
1657304302295,-683,612,-314
1657304302335,-686,487,-277
1657304302375,-818,496,-166
1657304302415,-855,817,-61
1657304302455,-906,882,-150
1657304302495,-842,918,-137
1657304302535,-732,1069,-190
1657304302575,-432,842,-397
1657304302615,-528,732,-294
1657304302655,-773,825,-226
1657304302695,-448,589,-470
1657304302735,-390,708,-317
1657304302775,-302,758,-170
1657304302815,-230,750,-30
1657304302855,-377,717,-139
1657304302895,-453,882,-80
1657304302935,-636,945,-275
1657304302975,-764,1048,-132
1657304303015,-899,1195,-124
1657304303055,-936,1040,-300
1657304303095,-776,851,-306
1657304303135,-568,698,-245
1657304303175,-533,570,-193
1657304303215,-426,489,-159
1657304303255,-355,550,-144
1657304303295,-423,631,-123
1657304303335,-584,748,-136
1657304303375,-673,957,-200
1657304303415,-829,1051,-450
1657304303455,-798,996,-214
1657304303495,-607,843,-295
1657304303535,-4,854,-297
1657304303575,-493,716,-317
1657304303615,-689,682,-130
1657304303655,-610,613,-153
1657304303695,-513,516,-352
1657304303735,-476,462,-412
1657304303775,-442,377,-395
1657304303815,-594,410,-325
1657304303855,-616,271,-209
1657304303895,-689,147,-176
1657304303935,-1012,136,-58
1657304303975,-1236,236,-36
1657304304015,-1848,348,4
1657304304055,-2048,376,115
1657304304095,-1743,411,-44
1657304304135,-1240,442,-129
1657304304175,-856,385,-121
1657304304215,-450,230,-100
1657304304255,-263,96,-10
1657304304295,-74,144,-21
1657304304335,-335,395,-96
1657304304375,-1258,639,-376
1657304304415,-2048,154,-107
1657304304455,-1667,61,-154
1657304304495,-938,0,-336
1657304304535,-381,-58,-281
1657304304575,-210,-195,-398
1657304304615,-233,-189,-234
1657304304655,-787,-377,-569
1657304304695,-1000,-575,-479
1657304304735,-907,-194,-944
1657304304775,-1244,-646,-1201
1657304304815,-1306,-492,-1156
1657304304855,-1053,-309,-903
1657304304895,-645,-302,-764
1657304304935,-474,-161,-521
1657304304975,-427,44,-217
1657304305015,-564,68,-90
1657304305055,-556,69,-169
1657304305095,-830,-120,-313
1657304305135,-1258,133,-600
1657304305175,-1600,-212,-1002
1657304305215,-1736,-672,-846
1657304305255,-1167,-441,-635
1657304305295,-649,-366,-416
1657304305335,-343,-263,-332
1657304305375,-282,-230,-280
1657304305415,-430,-342,-244
1657304305455,-413,-498,-187
1657304305495,-538,-723,-186
1657304305535,-1197,-1104,-439
1657304305575,-1347,-777,-550
1657304305615,-1361,-423,-483
1657304305655,-1291,-6,-447
1657304305695,-1110,195,-356
1657304305735,-913,315,-265
1657304305775,-684,262,-181
1657304305815,-652,123,-185
1657304305855,-1087,105,-212
1657304305895,-2048,-388,-426
1657304305935,-1819,-666,-566
1657304305975,-1278,-435,-309
1657304306015,-827,-603,-203
1657304306055,-389,-498,-226
1657304306095,-250,-375,-152
1657304306135,-278,-388,-131
1657304306175,-319,-470,-89
1657304306215,-429,-750,-65
1657304306255,-1061,-1138,-201
1657304306295,-1388,-977,-347
1657304306335,-1466,-654,-347
1657304306375,-1393,-367,-310
1657304306415,-1105,-74,-318
1657304306455,-971,144,-328
1657304306495,-840,272,-341
1657304306535,-733,249,-345
1657304306575,-914,150,-219
1657304306615,-1603,106,-171
1657304306655,-2048,-599,-293
1657304306695,-1860,-812,-230
1657304306735,-1170,-719,-106
1657304306775,-639,-778,-117
1657304306815,-236,-633,-133
1657304306855,-99,-553,-35
1657304306895,-158,-553,58
1657304306935,-215,-747,37
1657304306975,-426,-926,-89
1657304307015,-1192,-1046,-288
1657304307055,-1804,-1120,-377
1657304307095,-1651,-571,-344
1657304307135,-1251,-76,-256
1657304307175,-1016,189,-241
1657304307215,-962,400,-316
1657304307255,-717,411,-429
1657304307295,-781,264,-290
1657304307335,-1175,162,-134
1657304307375,-2048,-467,-25
1657304307415,-2048,-1144,-14
1657304307455,-1465,-891,161
1657304307495,-773,-677,148
1657304307535,-300,-614,58
1657304307575,-172,-501,-33
1657304307615,-65,-547,-87
1657304307655,34,-617,-139
1657304307695,189,-950,-42
1657304307735,-928,-1359,-145
1657304307775,-1933,-1281,-172
1657304307815,-1732,-782,-235
1657304307855,-1425,-278,-229
1657304307895,-1194,10,-299
1657304307935,-1138,222,-394
1657304307975,-909,385,-400
1657304308015,-822,293,-356
1657304308055,-1363,64,-252
1657304308095,-1967,-26,-358
1657304308135,-2048,-472,-565
1657304308175,-1754,-863,-543
1657304308215,-1103,-699,-186
1657304308255,-560,-570,21
1657304308295,-288,-453,74
1657304308335,-220,-346,201
1657304308375,-221,-423,186
1657304308415,-238,-501,37
1657304308455,-636,-746,-289
1657304308495,-1455,-753,-626
1657304308535,-1726,-538,-519
1657304308575,-1468,-192,-355
1657304308615,-996,119,-377
1657304308655,-988,66,-404
1657304308695,-817,228,-354
1657304308735,-560,404,-302
1657304308775,-844,452,-198
1657304308815,-2048,155,58
1657304308855,-2048,-946,-10
1657304308895,-1600,-918,149
1657304308935,-468,-478,222
1657304308975,-123,-177,104
1657304309015,28,-139,18
1657304309055,6,-246,-43
1657304309095,-22,-312,-93
1657304309135,106,-523,-101
1657304309175,-2018,-1672,-24
1657304309215,-2048,-1223,399
1657304309255,-1468,-276,210
1657304309295,-840,9,-206
1657304309335,-573,363,-176
1657304309375,-512,509,-87
1657304309415,-476,426,-108
1657304309455,-695,375,-52
1657304309495,-1441,312,98
1657304309535,-2048,9,442
1657304309575,-2048,-682,562
1657304309615,-943,-409,388
1657304309655,-514,-232,198
1657304309695,-209,-84,49
1657304309735,-136,-158,-15
1657304309775,-59,-247,-27
1657304309815,-49,-424,-13
1657304309855,-691,-1111,93
1657304309895,-2048,-1050,306
1657304309935,-2048,-331,535
1657304309975,-1238,-9,73
1657304310015,-924,257,-87
1657304310055,-710,458,-39
1657304310095,-487,407,-201
1657304310135,-349,275,-347
1657304310175,-453,366,-150
1657304310215,-1588,492,190
1657304310255,-2048,-17,585
1657304310295,-2048,-495,783
1657304310335,-770,-466,475
1657304310375,-262,-301,152
1657304310415,-85,-109,0
1657304310455,-27,-104,-67
1657304310495,-33,-179,-44
1657304310535,-287,-247,3
1657304310575,-1599,-1143,160
1657304310615,-2048,-796,498
1657304310655,-1739,-270,459
1657304310695,-1033,-60,-13
1657304310735,-701,211,-164
1657304310775,-538,404,-136
1657304310815,-508,354,-119
1657304310855,-473,384,-116
1657304310895,-774,422,1
1657304310935,-2048,482,451
1657304310975,-2048,-331,697
1657304311015,-1616,-388,619
1657304311055,-557,-314,332
1657304311095,-306,-282,110
1657304311135,-268,-249,33
1657304311175,-130,-298,-42
1657304311215,-110,-359,-52
1657304311255,-291,-603,-11
1657304311295,-1981,-877,205
1657304311335,-2048,-387,639
1657304311375,-1705,-41,319
1657304311415,-972,26,-189
1657304311455,-675,145,-338
1657304311495,-887,239,-205
1657304311535,-899,327,-169
1657304311575,-1006,493,-168
1657304311615,-1786,1012,293
1657304311655,-2048,732,586
1657304311695,-2048,429,729
1657304311735,-1387,-5,91
1657304311775,-530,-2,173
1657304311815,-189,-131,-262
1657304311855,-365,-114,-269
1657304311895,-165,-171,55
1657304311935,-499,131,221
1657304311975,27,293,-724
1657304312015,-738,1025,-567
1657304312055,-1187,783,-454
1657304312095,-1083,609,-559
1657304312135,-632,420,-657
1657304312175,-161,212,76
1657304312215,-74,75,43
1657304312255,-241,54,-19
1657304312295,-383,267,-331
1657304312335,-678,892,-659
1657304312375,-855,1198,-778
1657304312415,-1548,1112,-348
1657304312455,-1367,704,183
1657304312495,-1108,355,237
1657304312535,-981,148,240
1657304312575,-671,-43,88
1657304312615,-613,-316,-85
1657304312655,-1003,-367,-40
1657304312695,-1015,-398,295
1657304312735,-1957,-195,828
1657304312775,-1822,-41,1197
1657304312815,-1371,197,561
1657304312855,-1211,354,58
1657304312895,-884,410,-33
1657304312935,-615,427,-60
1657304312975,-484,452,-66
1657304313015,-375,472,-99
1657304313055,-862,868,167
1657304313095,-2048,658,874
1657304313135,-2048,10,1149
1657304313175,-1218,-162,800
1657304313215,-494,-197,233
1657304313255,-316,-105,-22
1657304313295,-263,-89,-49
1657304313335,-273,-245,89
1657304313375,-263,-309,89
1657304313415,-472,-388,12
1657304313455,-2048,-511,455
1657304313495,-2048,-265,1375
1657304313535,-1520,-36,475
1657304313575,-1006,247,-69
1657304313615,-731,379,41
1657304313655,-455,348,26
1657304313695,-302,427,-9
1657304313735,-326,453,76
1657304313775,-590,529,-20
1657304313815,-2048,381,271
1657304313855,-2048,112,817
1657304313895,-1400,-113,546
1657304313935,-478,-93,201
1657304313975,-220,-8,82
1657304314015,-232,-47,149
1657304314055,-270,-151,170
1657304314095,-289,-219,136
1657304314135,-493,-457,76
1657304314175,-2048,-523,311
1657304314215,-2048,-215,1094
1657304314255,-1639,-37,543
1657304314295,-1031,135,-16
1657304314335,-741,352,-68
1657304314375,-633,343,58
1657304314415,-434,418,90
1657304314455,-195,314,9
1657304314495,-188,414,-204
1657304314535,-2048,1083,360
1657304314575,-2048,429,754
1657304314615,-2048,92,624
1657304314655,-815,-124,339
1657304314695,-374,-361,352
1657304314735,147,-313,-7
1657304314775,349,-186,91
1657304314815,247,-381,195
1657304314855,327,-361,-123
1657304314895,-309,-636,-226
1657304314935,-2048,191,1876
1657304314975,-2048,1184,611
1657304315015,-1278,596,-20
1657304315055,-903,580,-249
1657304315095,-697,484,-122
1657304315135,-209,674,-242
1657304315175,174,459,-340
1657304315215,300,368,-365
1657304315255,-564,1239,-555
1657304315295,-2048,2047,1650
1657304315335,-2048,2047,1958
1657304315375,-925,351,883
1657304315415,-289,-127,320
1657304315455,51,-332,-38
1657304315495,92,-255,9
1657304315535,218,-141,316
1657304315575,136,-408,315
1657304315615,-329,-628,-233
1657304315655,-1583,1337,883
1657304315695,-1025,2047,1114
1657304315735,-513,1968,313
1657304315775,-816,834,-229
1657304315815,-702,268,-310
1657304315855,-372,681,-175
1657304315895,397,1259,-103
1657304315935,232,744,-466
1657304315975,-388,564,-446
1657304316015,-1320,1815,-346
1657304316055,-2048,2047,1092
1657304316095,-945,2047,1062
1657304316135,-414,690,800
1657304316175,-383,-75,558
1657304316215,-55,-327,274
1657304316255,172,-382,296
1657304316295,181,-451,258
1657304316335,85,-503,38
1657304316375,-1019,227,402
1657304316415,-2048,1947,2046
1657304316455,-1776,1538,592
1657304316495,-963,956,16
1657304316535,-898,855,-93
1657304316575,-725,800,-77
1657304316615,-212,784,-157
1657304316655,40,655,-360
1657304316695,-67,835,-282
1657304316735,-1530,1873,377
1657304316775,-2048,1582,1773
1657304316815,-1084,650,1170
1657304316855,-550,94,491
1657304316895,-273,-55,365
1657304316935,-48,-136,230
1657304316975,52,-212,169
1657304317015,-39,-197,153
1657304317055,-271,-128,-21
1657304317095,-1697,416,327
1657304317135,-2048,1006,1508
1657304317175,-1688,885,1216
1657304317215,-823,311,50
1657304317255,-692,368,-95
1657304317295,-423,391,-60
1657304317335,-258,458,52
1657304317375,65,459,-83
1657304317415,-200,344,-342
1657304317455,-1732,908,-246
1657304317495,-2048,1624,1109
1657304317535,-2048,880,1468
1657304317575,-828,117,486
1657304317615,-296,109,213
1657304317655,-49,-7,86
1657304317695,32,-170,37
1657304317735,86,-263,73
1657304317775,-9,-341,95
1657304317815,-445,-360,155
1657304317855,-2048,295,1048
1657304317895,-2048,917,1624
1657304317935,-1319,318,-283
1657304317975,-795,16,-1107
1657304318015,-514,66,-368
1657304318055,-230,189,-66
1657304318095,-208,78,-138
1657304318135,-129,281,-2
1657304318175,-868,585,87
1657304318215,-2048,1042,300
1657304318255,-2048,323,347
1657304318295,-1602,-135,53
1657304318335,-988,21,261
1657304318375,-561,134,248
1657304318415,-243,43,55
1657304318455,-116,-31,13
1657304318495,-121,-134,53
1657304318535,57,-234,-116
1657304318575,-233,-330,-227
1657304318615,-2048,-214,480
1657304318655,-2048,110,1233
1657304318695,-1694,15,328
1657304318735,-880,100,-195
1657304318775,-712,307,17
1657304318815,-502,432,-13
1657304318855,-202,432,-90
1657304318895,-44,450,-59
1657304318935,-308,774,-101
1657304318975,-2048,1046,588
1657304319015,-2048,691,1136
1657304319055,-1534,144,1066
1657304319095,-600,-118,342
1657304319135,-261,-37,68
1657304319175,-206,-72,-14
1657304319215,-185,-97,102
1657304319255,-301,-77,218
1657304319295,-322,-202,127
1657304319335,-1566,-267,238
1657304319375,-2048,236,1356
1657304319415,-1630,428,801
1657304319455,-987,247,-10
1657304319495,-764,426,-120
1657304319535,-510,370,-107
1657304319575,-230,468,-156
1657304319615,-208,421,-105
1657304319655,-93,413,-173
1657304319695,-141,726,-204
1657304319735,-2048,770,904
1657304319775,-2048,353,1798
1657304319815,-2048,-135,1251
1657304319855,-644,-300,252
1657304319895,-283,-188,48
1657304319935,-74,-111,39
1657304319975,-87,-132,73
1657304320015,-50,-222,18
1657304320055,245,-490,-67
1657304320095,-1233,-676,147
1657304320135,-2048,-244,1743
1657304320175,-2048,-15,1052
1657304320215,-1041,24,-137
1657304320255,-606,273,-207
1657304320295,-470,397,-46
1657304320335,-234,481,0
1657304320375,-138,428,-107
1657304320415,-384,590,-115
1657304320455,-2026,1157,519
1657304320495,-2048,688,1277
1657304320535,-1828,-142,1112
1657304320575,-717,-243,416
1657304320615,-228,-233,115
1657304320655,-121,-155,-88
1657304320695,-87,-194,-85
1657304320735,-62,-210,-6
1657304320775,-136,-246,0
1657304320815,-1553,-249,502
1657304320855,-2048,-869,1264
1657304320895,-1983,-507,1166
1657304320935,-825,74,311
1657304320975,-735,395,-187
1657304321015,-566,571,-47
1657304321055,-350,652,17
1657304321095,-122,614,-80
