timestamp,accel_X,accel_Y,accel_Z
1657304677335,-782,-668,1
1657304677375,-771,-663,7
1657304677415,-774,-673,-11
1657304677455,-782,-679,0
1657304677495,-771,-672,2
1657304677535,-784,-669,-12
1657304677575,-795,-670,-3
1657304677615,-796,-671,9
1657304677655,-820,-733,-28
1657304677695,-739,-696,-24
1657304677735,-734,-648,0
1657304677775,-768,-619,41
1657304677815,-800,-628,58
1657304677855,-843,-668,18
1657304677895,-829,-691,-16
1657304677935,-807,-686,-29
1657304677975,-793,-670,3
1657304678015,-780,-679,-6
1657304678055,-772,-685,16
1657304678095,-750,-647,36
1657304678135,-764,-655,38
1657304678175,-767,-668,28
1657304678215,-788,-703,6
1657304678255,-789,-711,7
1657304678295,-758,-707,-20
1657304678335,-738,-708,-25
1657304678375,-727,-689,-15
1657304678415,-741,-670,54
1657304678455,-774,-658,98
1657304678495,-740,-669,54
1657304678535,-749,-713,-13
1657304678575,-756,-735,-59
1657304678615,-809,-733,-47
1657304678655,-829,-732,4
1657304678695,-829,-713,35
1657304678735,-794,-693,47
1657304678775,-749,-688,18
1657304678815,-723,-707,-17
1657304678855,-718,-712,-20
1657304678895,-716,-699,-10
1657304678935,-737,-690,5
1657304678975,-760,-677,33
1657304679015,-783,-681,34
1657304679055,-781,-681,32
1657304679095,-791,-705,-7
1657304679135,-766,-702,-46
1657304679175,-768,-703,-50
1657304679215,-765,-690,-32
1657304679255,-768,-684,-19
1657304679295,-779,-684,-3
1657304679335,-790,-699,-1
1657304679375,-768,-682,0
1657304679415,-773,-680,-10
1657304679455,-770,-681,-25
1657304679495,-772,-679,-23
1657304679535,-761,-683,-28
1657304679575,-782,-692,-32
1657304679615,-772,-688,-20
1657304679655,-784,-690,-21
1657304679695,-773,-681,-14
1657304679735,-770,-679,-6
1657304679775,-768,-680,-11
1657304679815,-778,-690,-26
1657304679855,-756,-680,-17
1657304679895,-771,-685,-40
1657304679935,-794,-694,-38
1657304679975,-798,-703,-41
1657304680015,-791,-691,-27
1657304680055,-779,-686,-30
1657304680095,-772,-680,-27
1657304680135,-751,-668,-29
1657304680175,-752,-673,-45
1657304680215,-772,-677,-25
1657304680255,-772,-673,-24
1657304680295,-779,-683,-16
1657304680335,-772,-679,-21
1657304680375,-770,-679,-33
1657304680415,-759,-675,-32
1657304680455,-778,-681,-20
1657304680495,-770,-675,-22
1657304680535,-781,-686,-38
1657304680575,-811,-718,-38
1657304680615,-793,-707,-13
1657304680655,-765,-686,-21
1657304680695,-759,-687,-45
1657304680735,-762,-680,-24
1657304680775,-771,-679,-30
1657304680815,-781,-682,-19
1657304680855,-775,-681,-18
1657304680895,-771,-687,-28
1657304680935,-762,-688,-38
1657304680975,-770,-681,-31
1657304681015,-775,-672,-12
1657304681055,-785,-685,-6
1657304681095,-783,-677,1
1657304681135,-775,-673,-10
1657304681175,-794,-690,-9
1657304681215,-780,-692,-14
1657304681255,-773,-697,-24
1657304681295,-765,-687,-24
1657304681335,-767,-690,-22
1657304681375,-775,-698,-18
1657304681415,-771,-689,-12
1657304681455,-769,-691,-23
1657304681495,-761,-683,-10
1657304681535,-763,-679,-4
1657304681575,-768,-683,-13
1657304681615,-775,-681,-7
1657304681655,-796,-687,-14
1657304681695,-815,-695,-18
1657304681735,-866,-743,-46
1657304681775,-1002,-833,-101
1657304681815,-1066,-851,-144
1657304681855,-1417,-1001,-289
1657304681895,-1263,-676,-218
1657304681935,-881,-346,-289
1657304681975,-756,-128,-309
1657304682015,-729,-37,-316
1657304682055,-729,11,-217
1657304682095,-660,-22,-317
1657304682135,-468,-66,-502
1657304682175,-346,-30,-565
1657304682215,-251,-6,-695
1657304682255,-625,-128,-832
1657304682295,-706,-245,-885
1657304682335,-613,-126,-832
1657304682375,-584,-112,-910
1657304682415,-437,-198,-689
1657304682455,-567,156,-791
1657304682495,-539,-102,-883
1657304682535,-657,-35,-1164
1657304682575,-564,293,-932
1657304682615,-461,14,-667
1657304682655,-648,146,-642
1657304682695,-791,226,-847
1657304682735,-681,158,-730
1657304682775,-718,204,-904
1657304682815,-706,248,-660
1657304682855,-645,309,-605
1657304682895,-702,298,-595
1657304682935,-794,260,-657
1657304682975,-821,250,-654
1657304683015,-703,275,-686
1657304683055,-653,280,-707
1657304683095,-690,257,-744
1657304683135,-721,278,-674
1657304683175,-711,271,-613
1657304683215,-768,268,-649
1657304683255,-771,260,-630
1657304683295,-726,215,-642
1657304683335,-747,171,-682
1657304683375,-715,177,-687
1657304683415,-733,116,-727
1657304683455,-724,91,-704
1657304683495,-709,106,-642
1657304683535,-766,61,-633
1657304683575,-758,51,-620
1657304683615,-775,33,-611
1657304683655,-801,8,-576
1657304683695,-761,0,-621
1657304683735,-825,-32,-612
1657304683775,-824,-41,-594
1657304683815,-891,-38,-579
1657304683855,-897,-7,-589
1657304683895,-974,-57,-537
1657304683935,-965,-51,-486
1657304683975,-997,-68,-437
1657304684015,-969,-89,-431
1657304684055,-968,-110,-389
1657304684095,-1027,-179,-358
1657304684135,-1011,-213,-342
1657304684175,-951,-248,-303
1657304684215,-972,-244,-330
1657304684255,-885,-190,-396
1657304684295,-960,-166,-461
1657304684335,-888,-171,-365
1657304684375,-766,-115,-625
1657304684415,-789,-203,-620
1657304684455,-838,-226,-751
1657304684495,-635,-165,-645
1657304684535,-754,-285,-845
1657304684575,-670,-219,-723
1657304684615,-648,-208,-753
1657304684655,-703,-201,-758
1657304684695,-730,-229,-794
1657304684735,-733,-245,-785
1657304684775,-709,-214,-769
1657304684815,-690,-176,-680
1657304684855,-710,-181,-742
1657304684895,-720,-169,-712
1657304684935,-770,-191,-721
1657304684975,-750,-212,-753
1657304685015,-699,-194,-693
1657304685055,-706,-186,-669
1657304685095,-682,-160,-708
1657304685135,-719,-170,-706
1657304685175,-738,-161,-744
1657304685215,-740,-169,-746
1657304685255,-753,-170,-703
1657304685295,-737,-143,-682
1657304685335,-746,-150,-694
1657304685375,-737,-127,-678
1657304685415,-763,-146,-718
1657304685455,-767,-142,-702
1657304685495,-775,-137,-686
1657304685535,-754,-153,-700
1657304685575,-757,-154,-713
1657304685615,-741,-155,-696
1657304685655,-729,-128,-675
1657304685695,-719,-119,-651
1657304685735,-778,-145,-667
1657304685775,-785,-165,-632
1657304685815,-769,-176,-666
1657304685855,-710,-204,-739
1657304685895,-687,-208,-716
1657304685935,-709,-196,-708
1657304685975,-720,-150,-731
1657304686015,-790,-138,-783
1657304686055,-875,-134,-757
1657304686095,-933,-116,-669
1657304686135,-917,-81,-616
1657304686175,-822,-70,-603
1657304686215,-716,-70,-669
1657304686255,-656,-4,-592
1657304686295,-638,-6,-555
1657304686335,-643,-49,-550
1657304686375,-609,-102,-582
1657304686415,-651,-215,-738
1657304686455,-880,-365,-854
1657304686495,-860,-369,-814
1657304686535,-695,-330,-744
1657304686575,-468,-243,-649
1657304686615,-453,-238,-660
1657304686655,-677,-338,-831
1657304686695,-837,-399,-924
1657304686735,-744,-352,-807
1657304686775,-676,-364,-739
1657304686815,-668,-375,-735
1657304686855,-650,-355,-639
1657304686895,-659,-359,-664
1657304686935,-686,-377,-657
1657304686975,-736,-422,-713
1657304687015,-748,-430,-686
1657304687055,-663,-369,-623
1657304687095,-638,-335,-618
1657304687135,-681,-289,-622
1657304687175,-900,-354,-773
1657304687215,-1125,-415,-899
1657304687255,-1024,-345,-752
1657304687295,-804,-283,-682
1657304687335,-639,-195,-563
1657304687375,-636,-91,-484
1657304687415,-666,-62,-497
1657304687455,-690,-72,-643
1657304687495,-869,-193,-858
1657304687535,-778,-109,-645
1657304687575,-740,-48,-520
1657304687615,-613,-32,-498
1657304687655,-664,-87,-706
1657304687695,-728,-122,-780
