timestamp,accel_X,accel_Y,accel_Z
1657079095612,702,172,701
1657079095652,714,168,706
1657079095692,715,170,724
1657079095732,720,164,714
1657079095772,721,163,716
1657079095812,713,156,713
1657079095852,715,161,726
1657079095892,730,184,721
1657079095932,732,211,701
1657079095972,725,216,698
1657079096012,670,177,670
1657079096052,652,150,699
1657079096092,676,149,769
1657079096132,697,147,774
1657079096172,707,160,735
1657079096212,702,155,729
1657079096252,714,160,768
1657079096292,707,163,760
1657079096332,703,174,765
1657079096372,692,192,728
1657079096412,694,196,730
1657079096452,687,205,738
1657079096492,693,217,728
1657079096532,693,232,708
1657079096572,693,226,694
1657079096612,711,228,690
1657079096652,718,236,683
1657079096692,697,218,689
1657079096732,696,219,708
1657079096772,692,203,733
1657079096812,687,200,707
1657079096852,703,195,723
1657079096892,696,180,720
1657079096932,694,180,733
1657079096972,711,187,738
1657079097012,708,199,723
1657079097052,694,193,732
1657079097092,689,195,741
1657079097132,683,202,744
1657079097172,675,198,721
1657079097212,685,204,704
1657079097252,703,212,722
1657079097292,696,214,729
1657079097332,702,214,725
1657079097372,690,213,724
1657079097412,671,202,729
1657079097452,674,200,723
1657079097492,692,201,735
1657079097532,693,212,728
1657079097572,694,201,720
1657079097612,710,213,738
1657079097652,704,222,717
1657079097692,665,202,705
1657079097732,646,175,744
1657079097772,684,185,776
1657079097812,698,205,747
1657079097852,682,204,714
1657079097892,674,205,739
1657079097932,672,201,758
1657079097972,668,190,718
1657079098012,710,223,728
1657079098052,736,223,733
1657079098092,709,229,692
1657079098132,707,231,692
1657079098172,685,222,713
1657079098212,678,212,718
1657079098252,686,209,730
1657079098292,682,210,685
1657079098332,663,182,691
1657079098372,673,175,759
1657079098412,683,175,785
1657079098452,700,187,776
1657079098492,697,187,742
1657079098532,692,187,741
1657079098572,693,209,744
1657079098612,687,214,737
1657079098652,688,218,744
1657079098692,688,236,732
1657079098732,693,232,720
1657079098772,679,238,695
1657079098812,687,232,717
1657079098852,668,224,703
1657079098892,676,215,703
1657079098932,694,225,725
1657079098972,693,221,731
1657079099012,700,211,737
1657079099052,715,232,735
1657079099092,689,221,704
1657079099132,659,194,713
1657079099172,664,188,736
1657079099212,677,194,744
1657079099252,690,197,747
1657079099292,684,198,746
1657079099332,704,206,756
1657079099372,685,213,745
1657079099412,684,220,731
1657079099452,676,222,707
1657079099492,682,221,737
1657079099532,680,224,730
1657079099572,676,225,729
1657079099612,681,218,731
1657079099652,682,223,720
1657079099692,682,225,719
1657079099732,682,217,717
1657079099772,689,211,735
1657079099812,693,221,727
1657079099852,679,203,708
1657079099892,676,220,704
1657079099932,709,217,734
1657079099972,707,216,716
1657079100012,728,210,713
1657079100052,754,218,701
1657079100092,764,222,658
1657079100132,764,199,622
1657079100172,779,217,615
1657079100212,784,209,617
1657079100252,788,204,602
1657079100292,787,194,602
1657079100332,813,196,630
1657079100372,825,284,698
1657079100412,786,136,588
1657079100452,835,127,533
1657079100492,767,139,544
1657079100532,894,200,519
1657079100572,938,229,641
1657079100612,861,200,552
1657079100652,783,108,463
1657079100692,724,70,465
1657079100732,773,81,379
1657079100772,792,104,453
1657079100812,1038,151,599
1657079100852,1241,212,634
1657079100892,1114,255,332
1657079100932,953,325,94
1657079100972,914,267,17
1657079101012,1039,234,103
1657079101052,1202,51,-114
1657079101092,906,191,-168
1657079101132,838,248,-444
1657079101172,861,310,-277
1657079101212,1014,406,-347
1657079101252,982,462,-323
1657079101292,764,318,-186
1657079101332,699,286,-291
1657079101372,936,391,-588
1657079101412,1050,369,-804
1657079101452,997,31,-859
1657079101492,738,50,-973
1657079101532,719,-3,-916
1657079101572,485,-87,-504
1657079101612,460,-185,-459
1657079101652,431,-61,-507
1657079101692,567,12,-562
1657079101732,524,-75,-717
1657079101772,554,72,-1121
1657079101812,385,-7,-1049
1657079101852,457,-10,-924
1657079101892,496,21,-977
1657079101932,536,-42,-1086
1657079101972,439,-375,-718
1657079102012,337,-327,-698
1657079102052,397,-159,-888
1657079102092,394,364,-1177
1657079102132,308,-25,-1264
1657079102172,400,101,-1245
1657079102212,403,-78,-765
1657079102252,290,-137,-697
1657079102292,371,-26,-1010
1657079102332,347,-188,-613
1657079102372,447,-85,-939
1657079102412,308,-210,-984
1657079102452,449,-189,-1004
1657079102492,579,-121,-1024
1657079102532,520,-134,-821
1657079102572,611,-48,-681
1657079102612,629,-10,-651
1657079102652,467,-8,-564
1657079102692,426,-75,-620
