timestamp,accel_X,accel_Y,accel_Z
1657083915090,-875,-466,-358
1657083915130,-852,-446,-323
1657083915170,-852,-435,-323
1657083915210,-858,-445,-321
1657083915250,-860,-468,-340
1657083915290,-859,-485,-337
1657083915330,-864,-489,-328
1657083915370,-853,-480,-350
1657083915410,-847,-479,-325
1657083915450,-848,-472,-347
1657083915490,-838,-470,-340
1657083915530,-842,-476,-339
1657083915570,-842,-480,-356
1657083915610,-846,-490,-341
1657083915650,-875,-520,-357
1657083915690,-844,-521,-363
1657083915730,-841,-499,-333
1657083915770,-831,-476,-321
1657083915810,-819,-449,-315
1657083915850,-818,-430,-311
1657083915890,-809,-393,-292
1657083915930,-846,-407,-296
1657083915970,-938,-481,-347
1657083916010,-943,-479,-323
1657083916050,-944,-493,-297
1657083916090,-911,-527,-300
1657083916130,-825,-494,-277
1657083916170,-796,-488,-276
1657083916210,-786,-481,-297
1657083916250,-828,-505,-317
1657083916290,-868,-533,-331
1657083916330,-866,-527,-332
1657083916370,-875,-518,-313
1657083916410,-843,-477,-267
1657083916450,-868,-486,-268
1657083916490,-883,-524,-276
1657083916530,-870,-556,-289
1657083916570,-817,-527,-294
1657083916610,-831,-498,-276
1657083916650,-849,-497,-294
1657083916690,-838,-496,-304
1657083916730,-840,-492,-329
1657083916770,-889,-522,-351
1657083916810,-940,-569,-431
1657083916850,-841,-589,-531
1657083916890,-787,-641,-720
1657083916930,-851,-482,-682
1657083916970,-832,-260,-646
1657083917010,-684,-140,-519
1657083917050,-623,-103,-537
1657083917090,-720,-161,-652
1657083917130,-766,-146,-575
1657083917170,-775,-152,-576
1657083917210,-744,-156,-684
1657083917250,-788,-126,-640
1657083917290,-741,-119,-695
1657083917330,-720,-139,-728
1657083917370,-729,-136,-731
1657083917410,-719,-165,-750
1657083917450,-704,-157,-757
1657083917490,-722,-167,-734
1657083917530,-713,-181,-731
1657083917570,-703,-157,-694
1657083917610,-727,-205,-719
1657083917650,-721,-174,-667
1657083917690,-741,-221,-638
1657083917730,-788,-254,-692
1657083917770,-787,-248,-655
1657083917810,-778,-247,-610
1657083917850,-768,-263,-636
1657083917890,-773,-280,-637
1657083917930,-779,-299,-688
1657083917970,-787,-306,-645
1657083918010,-782,-299,-656
1657083918050,-750,-304,-672
1657083918090,-877,-299,-674
1657083918130,-1173,-172,-428
1657083918170,-1452,36,145
1657083918210,-1344,108,402
1657083918250,-665,435,538
1657083918290,-442,494,442
1657083918330,-265,580,729
1657083918370,-200,619,598
1657083918410,-182,704,641
1657083918450,-165,727,567
1657083918490,-219,755,399
1657083918530,-233,745,453
1657083918570,-194,815,428
1657083918610,-407,891,458
1657083918650,-137,1006,361
1657083918690,-211,903,333
1657083918730,-190,899,431
1657083918770,-56,872,345
1657083918810,-252,864,320
1657083918850,-220,882,361
1657083918890,-231,865,395
1657083918930,-208,808,358
1657083918970,-308,728,458
1657083919010,-307,706,515
1657083919050,-584,752,624
1657083919090,-535,609,658
1657083919130,-995,218,50
1657083919170,-808,207,-313
1657083919210,-846,58,116
1657083919250,-1027,2,-219
1657083919290,-1250,-76,-181
1657083919330,-1635,-1,-50
1657083919370,-1275,-29,-47
1657083919410,-1340,-59,-259
1657083919450,-749,105,-62
1657083919490,-910,-92,-202
1657083919530,-1044,-179,-320
1657083919570,-1137,-134,-291
1657083919610,-1015,-109,-459
1657083919650,-1007,-66,-140
1657083919690,-1039,-103,295
1657083919730,-970,0,-160
1657083919770,-987,143,-230
1657083919810,-916,136,-393
1657083919850,-998,41,-293
1657083919890,-1128,-146,-281
1657083919930,-988,0,-272
1657083919970,-854,-4,-275
1657083920010,-927,62,-275
1657083920050,-1001,103,-298
1657083920090,-1006,1340,-1074
1657083920130,-532,434,-447
1657083920170,-1610,-308,-4
1657083920210,-1330,-713,155
1657083920250,-1309,-690,-81
1657083920290,-655,140,-525
1657083920330,-873,344,-592
1657083920370,-649,410,-527
1657083920410,-999,404,-597
1657083920450,-871,435,-581
1657083920490,-797,339,-571
1657083920530,-99,-1202,-665
1657083920570,-742,460,-780
1657083920610,-974,729,-312
1657083920650,-742,766,-565
1657083920690,-441,703,-371
1657083920730,-652,817,-497
1657083920770,-394,595,-590
1657083920810,-366,509,-548
1657083920850,-188,431,-769
1657083920890,-314,-11,-853
