timestamp,accel_X,accel_Y,accel_Z
1657081065328,-312,-871,-437
1657081065368,-312,-877,-439
1657081065408,-310,-874,-446
1657081065448,-312,-869,-445
1657081065488,-308,-874,-442
1657081065528,-314,-871,-449
1657081065568,-319,-877,-437
1657081065608,-308,-868,-452
1657081065648,-312,-865,-450
1657081065688,-312,-869,-445
1657081065728,-316,-868,-451
1657081065768,-306,-866,-442
1657081065808,-311,-869,-450
1657081065848,-307,-866,-448
1657081065888,-305,-871,-448
1657081065928,-310,-868,-457
1657081065968,-308,-868,-450
1657081066008,-307,-871,-458
1657081066048,-311,-867,-452
1657081066088,-303,-868,-460
1657081066128,-304,-869,-453
1657081066168,-306,-860,-463
1657081066208,-309,-877,-458
1657081066248,-297,-869,-461
1657081066288,-301,-861,-469
1657081066328,-299,-868,-463
1657081066368,-300,-861,-471
1657081066408,-297,-869,-474
1657081066448,-299,-860,-460
1657081066488,-301,-871,-465
1657081066528,-293,-865,-466
1657081066568,-299,-862,-469
1657081066608,-300,-861,-461
1657081066648,-297,-869,-469
1657081066688,-292,-860,-461
1657081066728,-302,-865,-468
1657081066768,-300,-862,-469
1657081066808,-299,-861,-467
1657081066848,-295,-863,-472
1657081066888,-299,-866,-470
1657081066928,-297,-868,-467
1657081066968,-295,-864,-480
1657081067008,-286,-869,-474
1657081067048,-295,-861,-471
1657081067088,-296,-863,-468
1657081067128,-290,-861,-470
1657081067168,-291,-861,-458
1657081067208,-301,-864,-478
1657081067248,-291,-866,-474
1657081067288,-296,-867,-471
1657081067328,-290,-861,-466
1657081067368,-292,-864,-479
1657081067408,-290,-866,-475
1657081067448,-290,-867,-473
1657081067488,-296,-864,-472
1657081067528,-292,-865,-476
1657081067568,-292,-870,-472
1657081067608,-291,-863,-473
1657081067648,-288,-865,-481
1657081067688,-297,-867,-481
1657081067728,-288,-866,-478
1657081067768,-286,-865,-483
1657081067808,-290,-850,-485
1657081067848,-298,-864,-471
1657081067888,-292,-868,-468
1657081067928,-287,-858,-473
1657081067968,-295,-866,-471
1657081068008,-297,-873,-462
1657081068048,-299,-862,-470
1657081068088,-292,-869,-466
1657081068128,-294,-863,-459
1657081068168,-286,-876,-458
1657081068208,-288,-931,-497
1657081068248,-314,-816,-416
1657081068288,-296,-907,-466
1657081068328,-241,-826,-460
1657081068368,-356,-868,-60
1657081068408,-404,-1112,-237
1657081068448,-265,-974,-429
1657081068488,-206,-997,-334
1657081068528,-267,-928,-385
1657081068568,-255,-912,-411
1657081068608,-216,-907,-409
1657081068648,-248,-919,-400
1657081068688,-240,-913,-417
1657081068728,-206,-901,-449
1657081068768,-221,-910,-446
1657081068808,-212,-905,-414
1657081068848,-238,-922,-434
1657081068888,-226,-903,-432
1657081068928,-212,-895,-451
1657081068968,-224,-901,-451
1657081069008,-225,-903,-433
1657081069048,-221,-895,-440
1657081069088,-224,-875,-444
1657081069128,-230,-896,-453
1657081069168,-243,-899,-439
1657081069208,-218,-886,-460
1657081069248,-208,-875,-474
1657081069288,-234,-886,-473
1657081069328,-241,-905,-438
1657081069368,-238,-884,-452
1657081069408,-218,-890,-461
1657081069448,-241,-896,-473
1657081069488,-228,-893,-426
1657081069528,-236,-913,-443
1657081069568,-217,-888,-457
1657081069608,-195,-885,-432
1657081069648,-200,-861,-395
1657081069688,-332,-923,-496
1657081069728,-201,-889,-392
1657081069768,-223,-910,-425
1657081069808,-252,-868,-516
1657081069848,-180,-886,-420
1657081069888,-266,-926,-452
1657081069928,-244,-936,-390
1657081069968,-259,-923,-414
1657081070008,-230,-910,-432
1657081070048,-271,-918,-392
1657081070088,-238,-900,-407
1657081070128,-236,-920,-419
1657081070168,-264,-923,-426
1657081070208,-231,-893,-406
1657081070248,-262,-939,-398
1657081070288,-304,-908,-412
1657081070328,-322,-916,-489
1657081070368,-411,-900,-443
1657081070408,-370,-866,-421
1657081070448,-336,-863,-429
1657081070488,-449,-837,-546
1657081070528,-458,-739,-476
1657081070568,-461,-711,-546
1657081070608,-448,-702,-489
1657081070648,-505,-642,-679
1657081070688,739,-640,-1961
1657081070728,-423,-629,-654
1657081070768,-341,-642,-749
1657081070808,-201,-715,-700
1657081070848,-361,-641,-757
1657081070888,-404,-645,-684
1657081070928,-282,-590,-737
1657081070968,-344,-583,-817
1657081071008,-371,-641,-679
1657081071048,-382,-627,-702
1657081071088,-367,-607,-741
1657081071128,-429,-610,-695
1657081071168,-721,-666,-629
1657081071208,-482,-606,-653
1657081071248,-485,-629,-699
1657081071288,-487,-614,-653
1657081071328,-510,-638,-628
1657081071368,-515,-644,-659
1657081071408,-297,-703,-943
1657081071448,-443,-629,-682
1657081071488,-423,-645,-675
1657081071528,-390,-602,-728
1657081071568,-511,-553,-943
1657081071608,-351,-552,-634
1657081071648,-112,-940,-731
1657081071688,-279,-831,-719
1657081071728,-343,-689,-663
1657081071768,-427,-628,-762
1657081071808,-349,-597,-774
1657081071848,-386,-603,-726
